question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
What is the expected outcome of performing a relational join in a One-to-Many relationship (such as one customer having many orders)?,"Row count increases in an unpredictable, exponential manner",Row count decreases because non-matching rows are immediately deleted,Row count increases in a predictable manner,The database optimizer blocks the join to prevent schema instability,Both tables are converted into temporary logical views,C,"Slide 'One-to-Many vs Many-to-Many Relationships' (Slide 90) states that in a One-to-Many relationship (e.g., One customer -> many orders), 'Joins increase row count predictably'."
Which relationship cardinality poses a high risk of unexpected row multiplication and metric distortion if not properly handled during database joins?,One-to-One relationships,Zero-to-One relationships,One-to-Many relationships,Many-to-Many relationships,Single-row table joins,D,"Slide 'One-to-Many vs Many-to-Many Relationships' (Slide 90) states that in a Many-to-Many relationship (e.g., Orders and Products via order_items), it 'Can cause row multiplication' and adds that 'Understanding relationship cardinality is critical for metric accuracy.'"
SQL is described as a 'declarative' language. What does 'declarative' mean in this context?,The developer must write step-by-step algorithms detailing exactly how to access disk memory blocks,The user specifies what desired result set they want rather than the execution procedure,The language relies on variable state changes and procedural loop structures,Every query must be compiled into Java Virtual Machine bytecode before execution,The user must declare all database columns and their index locations in version control beforehand,B,Slide 'SQL as a Declarative Language' (Slide 43) states: 'Declarative means the user specifies the desired result set rather than the execution procedure.'
"In a declarative database architecture, what component is responsible for determining the physical execution plan of a SQL query?",The physical entity-relationship diagram (ERD),The client-side web browser,The database optimizer,The user during schema definition using DML,The version control system,C,"According to Slide 'SQL as a Declarative Language' (Slide 43), 'The database optimizer determines the physical execution plan.'"
What is the primary function of the 'SELECT' clause in a standard SQL query?,Projection of specific columns that will appear in the final result set,Filtering row records based on conditional criteria before aggregation,Controlling the sorting and ranking order of the output data,Combining data from multiple normalized tables based on shared keys,Defining the database table schema and primary key relationships,A,"Slide 'SQL as a Declarative Language' (Slide 43) defines 'SELECT' as: 'projection of columns'. Also, Slide 'Projection with SELECT' (Slide 49) states 'The SELECT clause determines which columns appear in the result set.'"
What is considered a best practice when writing queries in analytical environments to prevent schema instability and unnecessary data transfer?,Using 'SELECT *' to query all columns in case schemas are updated,Excluding the FROM clause to test mock datasets in local memory,Only querying tables that have primary and foreign key indexes,Structuring all analytical pipelines as a single full outer join,Explicitly specifying columns in the SELECT clause instead of using 'SELECT *',E,"Slide 'Projection with SELECT' (Slide 49) states: 'Best practice in analytical environments is to explicitly specify columns rather than using SELECT *, which can introduce schema instability and unnecessary data transfer.'"
When does row-level filtering using the 'WHERE' clause occur during SQL query execution?,After aggregation has been computed by GROUP BY,Before any aggregation occurs in the query pipeline,Simultaneously with sorting controlled by ORDER BY,Only when data is being written into physical indexes,After the HAVING clause has filtered group-level records,B,Slide 'Row Filtering with WHERE' (Slide 52) states: 'The WHERE clause filters rows before aggregation occurs.'
"According to the syntax rules of SQL aggregation, what is the constraint on non-aggregated columns listed in the SELECT clause when a GROUP BY clause is present?",They must be indexed primary keys,They must contain unique numeric values,Every non-aggregated column in the SELECT clause must appear in the GROUP BY clause,They must be filtered out using the WHERE clause,They must be defined in the Data Definition Language (DDL),C,Slide 'Aggregation & GROUP BY' (Slide 55) states: 'GROUP BY defines the granularity of aggregation. Every non-aggregated column in SELECT must appear in the GROUP BY clause.'
What is the primary difference between the 'WHERE' clause and the 'HAVING' clause in a SQL statement?,WHERE filters rows before aggregation; HAVING filters aggregated results after GROUP BY execution,"WHERE is used for numerical comparisons, whereas HAVING is used only for text strings","WHERE filters tables at the schema level, whereas HAVING is used exclusively inside logical views","HAVING is evaluated at compile-time by the driver, while WHERE is evaluated at runtime by executors",There is no difference; they can be used interchangeably in any analytical query,A,Slide 'HAVING & ORDER BY' (Slide 58) states: 'HAVING filters aggregated results after GROUP BY execution' while Slide 52 notes that WHERE filters rows before aggregation.
"Which of the following clauses is used to control the final presentation of results, typically for ranking or reporting?",GROUP BY,HAVING,WHERE,SELECT,ORDER BY,E,"According to Slide 'HAVING & ORDER BY' (Slide 58), 'ORDER BY controls the final presentation of results, typically used for ranking or reporting.'"
What is the logical order of execution for the primary elements of a SQL SELECT statement (from first evaluated to last)?,SELECT -> FROM -> WHERE -> GROUP BY -> HAVING -> ORDER BY,FROM -> WHERE -> GROUP BY -> HAVING -> SELECT -> ORDER BY,WHERE -> FROM -> SELECT -> GROUP BY -> HAVING -> ORDER BY,FROM -> SELECT -> WHERE -> HAVING -> GROUP BY -> ORDER BY,SELECT -> ORDER BY -> FROM -> WHERE -> GROUP BY -> HAVING,B,"In standard SQL logical evaluation, the engine must first identify the data source (FROM), apply row-level filters (WHERE), group the data (GROUP BY), filter aggregated groups (HAVING), project columns (SELECT), and finally sort results (ORDER BY). This flow is illustrated in Slide 57 ('The Big 6 Elements of a SQL Select Statement')."
Which of the following represents the typical sequence of transformations in an Analytical Data Pipeline as outlined in Lecture 8?,Raw tables -> Dashboard -> Joining -> Derived metrics -> Filtering,Raw tables -> Filtering -> Joining -> Aggregation -> Derived metrics -> Modeled views -> Dashboard/report,Derived metrics -> Raw tables -> Joining -> Aggregation -> Dashboard,Aggregation -> Derived metrics -> Filtering -> Joining -> Raw tables -> Dashboard,Dashboard -> Modeled views -> Aggregation -> Joining -> Raw tables,B,"According to Slide 'Analytical Data Pipeline' (Slide 46), the typical flow is: 'Raw tables -> Filtering -> Joining -> Aggregation -> Derived metrics -> Modeled views -> Dashboard/report'."
What is the fundamental purpose of a relational JOIN in database queries?,To delete duplicate records and optimize index sizes,To split a single large table into multiple normalized sub-tables,To combine rows from two or more tables based on a logical relationship,To compile declarative SQL text into Scala executor code,To convert unstructured streaming data into RDD partitions,C,Slide 'Relational Joins: Conceptual Foundation' (Slide 76) states: 'A JOIN combines rows from two or more tables based on a logical relationship.'
What characterizes a LEFT JOIN (LEFT OUTER JOIN) in SQL?,"It returns all rows from the left table and matching rows from the right table, with non-matching right rows containing NULLs","It returns only matching rows from both tables, discarding all others",It deletes all records in the left table that do not have matching values in the right table,"It returns only rows that are completely unique across both tables, with matching records omitted",It is an invalid SQL operation that can only be executed in distributed Spark SQL environments,A,Slide 'LEFT JOIN (LEFT OUTER JOIN)' (Slide 80) states: 'Returns all rows from the left table and matching rows from the right table. Non-matching rows from the right side appear as NULL.'
What is a common analytical use case for using a LEFT JOIN (LEFT OUTER JOIN) in database querying?,To find the average of aggregated groups after applying GROUP BY,To speed up full table scans using B-tree indexing structures,"To identify records in the left table that have no matching records in the right table (e.g., customers with no orders)",To force the database optimizer to use a pre-determined physical plan,To merge schema attributes when compiling a composite table index,C,Slide 'LEFT JOIN (LEFT OUTER JOIN)' (Slide 80) lists under Use case: 'identify customers with no orders.'
What characterizes a RIGHT JOIN in SQL databases?,It evaluates queries from right-to-left and ignores all left table columns,"It is symmetric to a LEFT JOIN, returning all rows from the right table and matching rows from the left table",It is used exclusively to aggregate columns on the right side of an ERD,It drops non-matching rows on both sides to prevent row multiplication,It translates all relational structures into unstructured RDD key-value pairs,B,Slide 'RIGHT JOIN and FULL OUTER JOIN' (Slide 83) states: 'RIGHT JOIN: Symmetric to LEFT JOIN (all rows from right table).'
What is the behavior of a FULL OUTER JOIN in relational SQL databases?,It raises an exception if any rows do not have an exact matching pair in both tables,"It returns all rows from both tables, with non-matching rows containing NULLs in the corresponding columns","It matches only rows that are completely distinct, omitting any common records",It converts physical SQL structures into dynamically cached Spark Datasets,It merges all rows and automatically aggregates them by primary key value,B,Slide 'RIGHT JOIN and FULL OUTER JOIN' (Slide 83) states: 'FULL OUTER JOIN: Returns all rows from both tables. Non-matching rows contain NULLs.'
For which specific tasks is a FULL OUTER JOIN most commonly used in enterprise data pipelines?,Projection of column aliases and indexing of primary keys,Reconciliation and data comparison tasks across different sources,Enforcing schema constraints and dropping redundant databases,"Calculating quick, running totals in structured window functions",Creating composite B-tree indices on relational database tables,B,Slide 'RIGHT JOIN and FULL OUTER JOIN' (Slide 83) states under FULL OUTER JOIN: 'Used for reconciliation and data comparison tasks.'
What is a Common Table Expression (CTE) in SQL querying?,A temporary named result set defined using the WITH keyword that improves query readability and modularity,A permanent system-level table containing JVM runtime configurations,An aggregation function nested inside a SELECT clause using CASE WHEN,An external Git repository containing parameterized database schemas,A physical indexing structure designed to replace relational joins,A,Slide 'Common Table Expressions (CTEs)' (Slide 64) states that CTEs 'improve readability and modularity by breaking complex logic into named steps' and are defined using the 'WITH' keyword.
Which of the following represents a key benefit of using Common Table Expressions (CTEs)?,They automatically create physical indexes in storage to speed up writes,They enforce strict primary key schemas during Data Manipulation (DML),They promote reproducibility and layered query design by decomposing complex nested logic into logical steps,"They convert dynamic relational queries into static, compiled Spark shell configurations",They bypass the database optimizer to run queries directly on the cluster hardware,C,Slide 'Common Table Expressions (CTEs)' (Slide 64) states: 'CTEs promote reproducibility and layered query design.'
How does SQL support conditional aggregation logic within a single analytical query?,Through the use of the HAVING clause combined with CREATE INDEX,"Through nested CASE WHEN expressions inside aggregation functions (e.g., SUM(CASE WHEN...))",By setting the database optimizer execution plan to logical view mode,By converting all relational structures to dynamic RDD lineage states,Using the WITH keyword to define multiple temporary tables across ERDs,B,Slide 'Conditional Aggregation' (Slide 58) states: 'SQL supports conditional logic through CASE expressions' and shows the example: 'SELECT SUM(CASE WHEN region=\'West\' THEN revenue ELSE 0 END) AS west_revenue FROM orders;'.
What is the primary characteristic of a 'Window Function' in SQL databases?,It divides tables into separate windows that are saved into physical storage drives,It computes aggregated values for groups of rows while preserving individual row-level detail in the output,It limits the execution window of SQL queries to a maximum of 2 hours,It enables analytical queries to view non-relational database directories in Apache Spark,"It replaces foreign key constraints with dynamic, logical schema rules",B,Slide 'Window Functions' (Slide 61) states: 'Window functions compute aggregated values while preserving row-level detail.'
Which analytical use cases are enabled by the application of Window Functions in SQL query design?,"Creating, dropping, or altering database tables at scale","Running totals, rankings, and cohort analysis without collapsing row granularity",Bypassing primary key validations and index updates to increase write performance,Exporting ERD diagrams to version control systems like Git,Enforcing schema verification on Parquet files,B,"According to Slide 'Window Functions' (Slide 61), 'Window functions enable running totals, rankings, and cohort analysis without collapsing rows.'"
What is a 'View' in the context of relational database systems?,"A stored SQL query that behaves like a table, encapsulating business logic",A graphical web interface used to display database performance statistics,A backup log file used to reconstruct database states post-failure,A physical column constraint that requires data to be visually inspectable,A dynamic Apache Spark task core that handles partition parallelisms,A,Slide 'Views as a Modeling Layer' (Slide 67) states: 'A view is a stored SQL query that behaves like a table. Views encapsulate business logic and enforce metric consistency.'
What is the difference between logical views and materialized views as described in Lecture 8?,"Logical views are used for SELECT statements, while materialized views are used only for DDL statements","Logical views are stored in version control systems, while materialized views are stored on active executors","Logical views are restricted to Python, while materialized views can only run in Scala",There is no functional difference; they are synonymous across all SQL engines,Logical views compute results at runtime; materialized views store precomputed results in storage,E,Slide 'Views as a Modeling Layer' (Slide 67) states: 'Logical views compute results at runtime. Materialized views store precomputed results.'
How do database Views serve as a governance and stability layer in analytical architectures?,They automatically delete duplicate rows and update B-tree indexes,"They separate transformation logic from presentation layers (such as dashboards), ensuring metric consistency","They compile all dynamic SQL text into fast, compiled JVM bytecode at the driver level",They prevent users from executing any DML commands on the relational tables,They convert structured tables into unstructured RDDs for manual code optimization,B,"According to Slide 'Views as a Modeling Layer' (Slide 67) and Slide 92, views 'encapsulate and stabilize business logic' and 'separate transformation logic from presentation layers such as dashboards.'"
"Which of the following lists only SQL Data Definition Language (DDL) commands, which are used to define and modify database structures?","INSERT, UPDATE, DELETE","SELECT, FILTER, AGGREGATE","CREATE, ALTER, DROP","JOIN, MERGE, UPSERT","WITH, OVER, PARTITION",C,"Slide 'Data Definition Language (DDL) Overview' (Slide 96, 97) identifies DDL commands as CREATE, ALTER, and DROP. INSERT, UPDATE, and DELETE are categorized as Data Manipulation Language (DML)."
What is the function of an UPSERT or MERGE operation in data warehousing and ETL pipelines?,It deletes all existing rows in a database table and reconstructs their structures from version control,"It inserts a new record if it does not already exist, or updates the existing record if it does",It converts logical views into physical materialized tables to accelerate database writes,It partitions active database executors to enable higher Spark parallelism,It merges primary key indices to bypass column projection rules,B,"Slide 'Upsert / MERGE Operations' (Slide 97) states: 'UPSERT inserts a row if it does not exist, or updates it if it does.'"
"What is an index in a relational database, and what is the primary tradeoff of utilizing one?",It is a serialization mechanism; the tradeoff is slower reads but faster writes,It is a data structure that improves query performance by enabling faster row lookup; the tradeoff is faster reads but slower writes,It is a temporary view of the schema; the tradeoff is schema instability and higher network transfers,It is a Git version control log; the tradeoff is increased storage requirements on local filesystems,It is an administrative score tracking mechanism; the tradeoff is a strict 2-hour time limit during exams,B,"According to Slide 'What Is an Index?' (Slide 101), an index is a 'data structure that improves query performance by enabling faster row lookup.' The tradeoff listed is: 'Faster reads, Slower writes (INSERT/UPDATE/DELETE must update index)'."
Which of the following is the correct SQL syntax for creating a composite index on multiple columns of a table?,"CREATE COMPOSITE INDEX idx_name ON orders(customer_id, order_date);","CREATE INDEX idx_orders_customer_date ON orders(customer_id, order_date);",ALTER TABLE orders ADD INDEX(customer_id AND order_date);,"MERGE INDEX idx_orders ON orders USING customer_id, order_date;",CREATE INDEX ON orders WHERE customer_id = 'customer_id' AND order_date = 'order_date';,B,"Slide 'Creating an Index' (Slide 102) states the syntax for a composite index: 'Composite index: CREATE INDEX idx_orders_customer_date ON orders(customer_id, order_date);'."
