question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
The distributional hypothesis underlies learned word embeddings. How is this hypothesis correctly defined?,"A word's meaning is fixed by its dictionary definition, independent of its usage.",Two words count as similar only when their spellings or character strings overlap heavily.,"Words that appear in similar contexts tend to have similar meanings, so they receive similar vectors.",Each word must be hand-labeled with its correct sense before any embedding can be learned.,Semantic space is uniformly distributed across the vocabulary.,C,"The distributional hypothesis holds that words used in similar contexts share similar meanings, which is the foundational idea of word2vec and GloVe."
Which statement correctly characterizes multinomial Naive Bayes as a text classifier?,Naive Bayes is discriminative and learns P(class|text) directly through gradient descent.,Naive Bayes abandons conditional independence and explicitly models dependencies among all words.,Naive Bayes estimates P(class|text) first and applies Bayes' rule to recover the word likelihoods.,"Naive Bayes is generative, assumes conditional independence given the class, and is fit by counting in one pass.",Naive Bayes relies on high-dimensional dense representations.,D,Naive Bayes is a classical generative classifier that assumes word conditional independence given the class and is fit in a single counting pass.
A text classifier applies a sigmoid output unit to bag-of-words or averaged-embedding features. Which statement about this head is correct?,The sigmoid head is generative and models P(text|class) over the input features.,The sigmoid head over these features is equivalent to logistic regression on those features.,The sigmoid head needs the conditional-independence assumption in order to be trained.,"The sigmoid head can only be fit by a single closed-form counting pass, like Naive Bayes.",The sigmoid head has no learnable parameters of its own.,B,"A sigmoid layer applied to linear feature combinations models P(class|text) directly, which is equivalent to discriminative logistic regression fit via gradient descent."
Which of the following correctly contrasts static and contextual word embeddings?,"Static embeddings give a word a different vector depending on context, while contextual embeddings are fixed.","Static embeddings cannot be pretrained, while contextual embeddings are always pretrained from scratch.","Static embeddings assign the exact same vector to a word like 'mouse' regardless of whether it means a rodent or a device, whereas contextual embeddings resolve this.","Static embeddings are learned using Transformer blocks, whereas contextual embeddings are built from unigrams.",There is no functional difference; they are synonymous terms.,C,"Static word embeddings (e.g. word2vec, GloVe) assign a single fixed vector per vocabulary word. Contextual embeddings (e.g. BERT) dynamically compute different vectors based on surrounding text context."
"A text classifier maps a vocabulary of 10,000 words to 32-dimensional vectors through an embedding lookup table, averages them (mean pooling), passes it through a fully connected hidden layer of 16 units (with bias and ReLU), and ends in a single output unit (with bias). How many trainable parameters does this model have?","320,000","320,545","320,528","321,045","320,512",B,"1) Embedding table: 10,000 * 32 = 320,000 parameters. 2) Hidden layer: 32 * 16 weights + 16 biases = 528. 3) Output unit: 16 * 1 weights + 1 bias = 17. Total = 320,000 + 528 + 17 = 320,545."
"A text classifier maps a vocabulary of 5,000 words to 64-dimensional vectors through an embedding lookup table, averages them (mean pooling), passes it through a fully connected hidden layer of 32 units (with bias and ReLU), and ends in a softmax output layer with 4 classes (with bias). How many trainable parameters does this model have?","320,000","322,112","322,212","322,180","322,148",D,"1) Embedding table: 5,000 * 64 = 320,000. 2) Hidden layer: 64 * 32 weights + 32 biases = 2,080. 3) Softmax output layer: 32 * 4 weights + 4 biases = 132. Total = 320,000 + 2,080 + 132 = 322,180 parameters."
"Which of the following statements about segmentation architectures are correct?
I. Semantic segmentation treats all pixels of a class identically without distinguishing individual object instances.
II. Instance segmentation produces a separate mask for each object instance, even when they share a class.
III. Mask R-CNN is a single-stage detector that produces no masks.
IV. U-Net uses skip connections to carry fine spatial details from the encoder directly to the decoder's upsampling path.","I, II, and III only","I, II, and IV only","II, III, and IV only","I, III, and IV only","I, II, III, and IV",B,"Mask R-CNN is a two-stage detector (not single-stage) and does output masks. Hence, statement III is incorrect. Statements I, II, and IV are correct."
"Which of the following statements about Grad-CAM and attribution methods are correct?
I. Grad-CAM weights the last convolutional feature maps by their pooled class-score gradients, sums them, and applies a ReLU.
II. Grad-CAM heatmaps are high-resolution because they match the input image's raw pixels.
III. Occlusion-based attribution is model-agnostic because it needs only forward passes, not gradients.
IV. Grad-CAM can help expose 'Clever Hans' shortcut learning, such as a classifier relying on background snow to identify wolves.","I, II, and III","I, III, and IV","II, III, and IV","I, II, and IV","I, II, III, and IV",B,"Grad-CAM heatmaps are coarse (low-resolution) because their resolution matches the last convolutional layer, not the input image, so II is false. Statements I, III, and IV are correct."
Which of the following statements about text standardization and tokenization is correct?,A token must always be a whole word; subword and character units are not valid tokens.,Lowercasing and stripping punctuation cut near-duplicate tokens but can erase signal a task needs.,Stemming maps inflected forms like 'staring' and 'stared' to their morphologically correct dictionary lemma.,"A bag-of-bigrams discards all local word order, behaving exactly like a bag-of-unigrams.","Standardization must be applied identically for every NLP task, regardless of what the task needs.",B,"Standardization simplifies vocabulary but can remove critical signal (like '?' in question detection). Stemming is crude and heuristic, whereas lemmatization maps to correct dictionary lemmas. Bigrams capture local word order, unlike unigrams."
"Which of the following statements about bag-of-words representations are correct?
I. A unigram bag-of-words maps the sentences 'dog bites man' and 'man bites dog' to the identical vector.
II. The length of a bag-of-words vector is set by the document length and is independent of the vocabulary size.
III. Binary bag-of-words records only whether a term is present, ignoring frequency.
IV. TF-IDF lowers the weight of terms that occur in almost every document of the corpus.","I, II, and III","I, III, and IV","II, III, and IV","I, II, and IV","I, II, III, and IV",B,"Statement II is false because the vector length is set by the vocabulary size, not the document length. Statements I, III, and IV are correct."
"Which of the following statements about word embeddings and word2vec are correct?
I. word2vec and GloVe capture algebraic directions, so king - man + woman ≈ queen.
II. Pretrained word2vec or GloVe vectors can be loaded when task data is scarce, serving as a text analogue of transfer learning.
III. Two words with high cosine similarity must also have nearly equal vector magnitudes.
IV. Embeddings learned from human text reproduce social biases such as stereotyped gender-occupation associations.
V. Skip-gram learns its vectors self-supervised, requiring no hand-labeled target-context pairs.","I, II, III, and IV","I, II, IV, and V","II, III, IV, and V","I, III, IV, and V","I, II, III, IV, and V",B,"Cosine similarity measures vector direction, not magnitude, so word vectors with high cosine similarity do not need to have equal magnitudes. Statement III is false."
Which of the following statements about classifier evaluation metrics is correct?,The F1 score is the simple arithmetic mean of precision and recall.,"On an imbalanced corpus, accuracy can stay high even when recall on the minority class is near zero.",Precision is the fraction of actual positive examples that the model correctly retrieves.,Recall is the fraction of predicted positive examples that are actually positive.,Raising the decision threshold generally increases recall at the expense of precision.,B,"If a corpus is highly imbalanced, predicting only the majority class gives high accuracy, despite zero recall on the minority class. F1 is the harmonic mean, and precision/recall definitions in choices C/D are swapped."
"A detector is evaluated on an image containing exactly 3 ground-truth objects of one class. It returns 5 predicted boxes. Ranked from highest to lowest confidence, the outcomes are: [correct, correct, incorrect, correct, incorrect]. What is the Average Precision (AP) for this image (to two decimal places)?",0.92,0.75,0.85,0.6,1,A,"Correct boxes are found at ranks 1, 2, and 4. Precision at rank 1 is 1/1 = 1.0. Precision at rank 2 is 2/2 = 1.0. Precision at rank 4 is 3/4 = 0.75. AP is the average of these precisions: (1.0 + 1.0 + 0.75) / 3 ≈ 0.92."
"An image contains exactly 2 ground-truth objects. A detector returns 3 predicted boxes ranked by confidence with outcomes: [correct, incorrect, correct]. What is the Average Precision (AP) for this image (to two decimal places)?",0.83,0.67,0.75,0.5,0.9,A,New correct boxes appear at ranks 1 and 3. Precision at rank 1 is 1/1 = 1.0. Precision at rank 3 is 2/3 ≈ 0.67. The Average Precision (AP) is the mean of these precisions: (1.0 + 0.67) / 2 ≈ 0.83.
"In skip-gram with negative sampling, the loss contributed by one target word w together with one true context word c and one randomly drawn negative sample n is L = -[ln σ(c.w) + ln σ(-n.w)], where σ(x) = 1 / (1 + e^-x). If the learned vectors give c.w = ln 3 and n.w = ln 3, what is the loss L (to two decimal places)?",1.67,1.1,1.39,0.98,2.1,A,σ(ln 3) = 1/(1+1/3) = 0.75. σ(-ln 3) = 1/(1+3) = 0.25. Loss L = -[ln(0.75) + ln(0.25)] = -ln(0.1875) ≈ 1.67.
"Using the same skip-gram with negative sampling loss formula, suppose that for a target word w, the learned vectors give positive context dot-product c.w = ln 4 and negative sample dot-product n.w = ln 4. What is the positive term σ(c.w), negative term σ(-n.w), and the total loss L (to two decimal places)?","σ(c.w) = 0.80, σ(-n.w) = 0.20, L = 1.83","σ(c.w) = 0.80, σ(-n.w) = 0.20, L = 1.50","σ(c.w) = 0.75, σ(-n.w) = 0.25, L = 1.67","σ(c.w) = 0.85, σ(-n.w) = 0.15, L = 2.06","σ(c.w) = 0.90, σ(-n.w) = 0.10, L = 2.40",A,σ(ln 4) = 1 / (1 + 1/4) = 0.80. σ(-ln 4) = 1 / (1 + 4) = 0.20. Loss L = -[ln 0.80 + ln 0.20] = -ln(0.16) ≈ 1.83.
Modern NLP tasks can be grouped by the shape of their output. Which of the following tasks is correctly matched with its output shape family?,Part-of-speech (POS) tagging — Span extraction,Extractive Question Answering (QA) — Sequence classification,Sentiment Analysis — Sequence-to-sequence,Named Entity Recognition (NER) — Sequence labeling,Machine Translation — Generation / language modeling,D,"Named Entity Recognition (NER) assigns a label to each individual token, which is the definition of sequence labeling."
Which of the following is a key characteristic of the IMDB Sentiment dataset that makes accuracy a fair and honest evaluation metric?,The training set is highly imbalanced with a 9:1 ratio of positive to negative reviews.,The positive reviews are on average twice as long as the negative reviews.,"It contains 50,000 movie reviews balanced exactly with 25,000 positive and 25,000 negative reviews overall.",The dataset comes pre-vectorized so no raw text processing is needed.,The median review length is exactly 600 words.,C,"The IMDB dataset is balanced exactly 50/50, which sets the random chance baseline at exactly 50% and ensures accuracy is an honest metric."
"Exploratory data analysis of movie reviews shows that as we widen the n-gram window from unigrams to bigrams and trigrams, how does the polarity of frequent terms behave?",Frequent n-grams become less polar and more generic as window size increases.,"Frequent unigrams (after dropping stop-words) like 'movie' are highly polar, while trigrams like 'worst movie ever' are neutral.","The signal sharpens because unigrams are mostly topic words with little polarity on their own, whereas trigrams carry sharp polarity (e.g. 'waste your time').",Polarity is completely independent of n-gram length.,Bigrams and trigrams are identical in their polarity distributions.,C,"Unigrams like 'movie' or 'film' are mostly topic-based and neutral. Polar sentiment (e.g., 'worst movie ever') is captured much better when expanding to multi-word n-gram sequences."
"In the text vectorization pipeline, which step is responsible for mapping space/punctuation-separated substrings into units like words, subwords, or characters?",Standardization,Tokenization,Vocabulary indexing,Multi-hot encoding,Global average pooling,B,"Tokenization is the task-dependent process of mapping strings into discrete units (tokens) such as words, subwords, or characters."
"When using the Keras TextVectorization layer with output_mode='int', which of the following represents the default reserved indices for padding and out-of-vocabulary (OOV) tokens?","Index 0 is OOV, Index 1 is padding (mask)","Index 0 is padding (mask), Index 1 is OOV","Index -1 is OOV, Index 0 is padding","Index 1 is padding, Index 2 is OOV",There are no reserved indices; the vocabulary starts at index 0 with the most frequent word,B,Keras TextVectorization defaults to reserving index 0 for the mask/padding token and index 1 for OOV words.
What is a key advantage of Byte-Pair Encoding (BPE) subword tokenization over traditional word-level indexing?,It completely eliminates the need for sequence padding.,It requires zero training and is entirely hand-written.,"It resolves the unknown-word problem because unseen words decompose into known subwords or characters, eliminating the OOV cliff.",It only merges tokens across word boundaries.,It represents each word as a single dense static vector.,C,"BPE resolves the unseen word problem. Unseen words are broken down into smaller subword blocks that were seen during training, preventing out-of-vocabulary issues."
"After normalizing every document and query vector to unit length (L2 norm = 1.0), which of the following mathematical statements is correct?","Cosine similarity, dot product, and Euclidean distance orderings will diverge completely.","Cosine similarity is equal to the dot product, making retrieval a fast matrix-vector multiplication.",Euclidean distance becomes exactly zero for all vectors.,Cosine similarity becomes unbounded.,Only sparse vectors can be compared.,B,"With unit-normalized vectors, cosine similarity is mathematically equivalent to the dot product, converting vector search into rapid matrix multiplication."
"When training a text classifier from scratch with a Keras Embedding layer, what is the role of setting mask_zero=True?",It converts all embedding weights to zero.,It tells the layer to ignore the padding tokens (index 0) during downstream pooling and loss computation.,It forces the vocabulary index to start at 1 instead of 0.,It quantizes the weights of the embedding table to 4 bits.,It disables backpropagation for the embedding table.,B,Setting mask_zero=True tells the layer to propagate a mask that skips index 0 (padding) in downstream pooling and sequence layers.
How does the classical Naive Bayes baseline compare to neural bag-of-words or embedding models on IMDB sentiment classification according to Lecture 7?,"Naive Bayes fails completely, achieving near 50% accuracy.",Naive Bayes easily outperforms pretrained Transformers by over 10 accuracy points.,"Naive Bayes trails the neural nets by only a few points, showing it is a simple, generative baseline that is hard to beat.",Naive Bayes requires several epochs of gradient descent to converge.,Naive Bayes cannot handle bigrams or trigrams.,C,"Naive Bayes achieved 86.6% accuracy on IMDB sentiment analysis, which is only slightly behind the neural nets, establishing it as a very solid baseline."
"In François Chollet's Deep Learning with Python, 2nd edition, when representing text sequences, what distinguishes the 'Multi-hot encoding' output mode of TextVectorization from 'Integer encoding' (output_mode='int')?","Multi-hot preserves word order, whereas Integer encoding discards it.","Multi-hot outputs a sequence of integers representing token indices, while Integer encoding outputs a single binary vector.","Multi-hot outputs a single binary vector representing the presence of words, discarding word order, whereas Integer encoding preserves sequential order as integer sequences.","Multi-hot requires an embedding lookup table, whereas Integer encoding does not.",There is no difference; they produce identical shape outputs.,C,"Multi-hot encoding discards word order and outputs a binary vector representing the presence of words, whereas Integer encoding outputs sequences of integers that preserve word order."
"In Lecture 7, when comparing different text representations on the same dense classifier, how did Bigrams compare to Unigrams?",Unigrams (89.6%) outperformed Bigrams (88.4%).,"Bigrams (89.6%) outperformed Unigrams (88.4%), showing that local word order adds valuable signal.","They were exactly equal, indicating word order doesn't matter for bag-of-words.",TF-IDF (89.8%) performed worse than both.,Bigrams collapsed due to vocabulary size.,B,"On a fixed classifier, bigrams (89.6%) outperformed unigrams (88.4%), proving that capturing local word order provides a boost in performance."
What is a key difference between static embeddings (like word2vec or GloVe) and contextual embeddings (like BERT)?,"Static embeddings represent words as character sequences, while contextual embeddings use bytes.","Static embeddings represent each word with a single fixed vector regardless of context, whereas contextual embeddings compute a different vector based on the surrounding sentence.","Static embeddings require human-labeled datasets, while contextual embeddings are self-supervised.",Contextual embeddings are lower-dimensional than static embeddings.,"Static embeddings are computed at runtime, whereas contextual embeddings are looked up from a static table.",B,Static embeddings assign the same vector to a word regardless of whether it's 'mouse' (device) or 'mouse' (animal). Contextual embeddings resolve this by using Transformers to generate a different representation per context.
Which of the following segmentation tasks is correctly defined?,"Instance segmentation treats all pixels of a class (e.g., all cars) as a single merged region.","Semantic segmentation distinguishes individual object instances of the same class, assigning them unique IDs.",Semantic segmentation assigns a class label to every pixel in an image without distinguishing individual object instances.,Instance segmentation does not use deep neural networks.,Semantic segmentation and Instance segmentation are identical.,C,Semantic segmentation assigns a class to each pixel but does not separate individual instances of that class. Instance segmentation assigns unique boundaries/masks to each separate object instance.
What is the mathematical formulation of Grad-CAM (Gradient-weighted Class Activation Mapping)?,It takes the dot product of the input image and the label vector.,"It computes the gradients of the class score with respect to the feature map activations of the last convolutional layer, pools them, takes a weighted combination of the feature maps, and applies a ReLU.",It runs a forward pass over the network with random pixel perturbations.,It computes the Hessian matrix of the loss with respect to the input weights.,It is a model-agnostic attribution method that uses only sliding occlusion masks.,B,"Grad-CAM computes gradients of class score y^c with respect to feature maps A^k of a convolutional layer, global-average-pools them to get importance weights alpha^k, and computes a ReLU on their weighted combination."
