question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
Which of the following correctly describes the trade-off controlled by the choice of chunk size in a RAG pipeline?,"Small chunks require larger embedding dimensions, while large chunks can use lower dimensions.",Small chunks yield precise matching but might lack surrounding context; large chunks capture completeness but dilute specific search keys.,"Small chunks are processed sequentially, while large chunks are processed in parallel on the GPU.","Small chunks are only compatible with BM25, while large chunks require dense embeddings.",There is no trade-off; larger chunk sizes always yield higher MRR and Recall@5.,B,"Small chunks isolate single topics, making the matching highly specific (sharp ranking). Large chunks include comprehensive explanations but average several topics together, which weakens their vector alignment with specific queries (Lecture 10, Slide 'Choosing a Chunk Size')."
A user queries a vector database with the metadata predicate: 'department = oncology AND contract_year > 2024'. What is a severe engineering risk of using post-filtering in this scenario?,It breaks the connectivity guarantees of the HNSW graph immediately.,"If the oncology filter is highly selective, post-filtering (running ANN search first, then filtering) can leave zero survivors in the top-k, resulting in empty or incomplete results.",Post-filtering forces the database to re-embed all documents at query time.,It causes the vector database to fall back to a B-tree search.,It increases the dimensionality of the stored vectors by 2x.,B,"Post-filtering runs the ANN search first and then filters out non-matching payloads. If the filter is highly selective (few oncology documents), there may be no oncology documents in the initial top-k, leading to empty or incomplete results (Lecture 10, Slide 'Metadata Filtering')."
"Under what condition does pre-filtering degrade an HNSW index's efficiency, and what is the typical database optimization strategy to handle it?",It degrades when the filter is not selective; the database optimizes by rebuilding the graph online.,It degrades when the filter is highly selective because masking out nodes breaks HNSW graph connectivity; databases optimize by choosing a query plan (brute-force vs. index scan) based on estimated selectivity.,It degrades when vectors are quantized to NF4; databases optimize by converting to FP32.,It degrades when metadata fields are numerical; databases optimize by converting fields to sparse unigrams.,HNSW graphs are mathematically immune to filtering degradation.,B,"Restricting search to matching vectors from the start (pre-filtering) can isolate nodes on HNSW graphs. If the filter is highly selective (few nodes match), graph traversal fails to navigate, so engines fall back to brute force below a selectivity threshold (Lecture 10, Slide 'Metadata Filtering')."
"For a given test query, the ground-truth relevant chunks are {c7, c12}. A retrieval pipeline returns the top 5 chunks in the following order: (c3, c7, c9, c12, c1). What is the Reciprocal Rank (RR) and Recall@3 of this query?",RR = 1.0; Recall@3 = 1.0,RR = 0.5; Recall@3 = 0.5,RR = 0.25; Recall@3 = 0.5,RR = 0.5; Recall@3 = 1.0,RR = 0.33; Recall@3 = 0.0,B,"The first relevant chunk returned is c7 at rank 2. Thus, the Reciprocal Rank is 1 / 2 = 0.5. The top 3 chunks returned are (c3, c7, c9). Only c7 is relevant out of the two ground-truth chunks {c7, c12}. Thus, Recall@3 is 1 / 2 = 0.5 (Lecture 10, Slide 'Ranking Metrics: Recall@k and MRR')."
"For the same query (ground truth relevant = {c7, c12}, returned = (c3, c7, c12, c9, c1)), what is the Discounted Cumulative Gain (DCG@3) and Normalized DCG (NDCG@3) to three decimal places? (Use binary relevance, rel_i = 1 if relevant, 0 if not).",DCG@3 = 1.631; NDCG@3 = 1.000,DCG@3 = 1.131; NDCG@3 = 0.693,DCG@3 = 1.000; NDCG@3 = 0.613,DCG@3 = 1.500; NDCG@3 = 0.920,DCG@3 = 1.131; NDCG@3 = 0.500,B,"Returned list at k=3: c3 (rank 1, rel=0), c7 (rank 2, rel=1), c12 (rank 3, rel=1). DCG@3 = 0/log2(2) + 1/log2(3) + 1/log2(4) = 0 + 1/1.585 + 1/2 = 1.131. Ideal list: both relevant first (rel=1 at rank 1, rel=1 at rank 2). IDCG@3 = 1/log2(2) + 1/log2(3) = 1 + 0.631 = 1.631. NDCG@3 = DCG@3 / IDCG@3 = 1.131 / 1.631 = 0.693 (Lecture 10, Slide 'Ranking Metrics: NDCG@k')."
"The evaluation of RAG systems is often structured around the 'RAG Triad'. What are the three edges of this triad, and what do they measure?","Input, Output, and Target; measuring exact sequence BLEU overlap.","Precision, Recall, and F1; measuring model parameter accuracy.","Context Relevance (did retrieval return useful chunks?), Groundedness (does the response have unsupported claims?), and Answer Relevance (does the response actually answer the query?).","Ingestion Speed, Search Latency, and GPU Peak Memory; measuring cluster hardware performance.","SFT loss, PPO reward, and KL penalty; measuring model alignment.",C,"The RAG Triad evaluates the edges between the Query, the Retrieved Context, and the Response. It isolates retrieval quality (Context Relevance), hallucinations (Groundedness/Faithfulness), and grounded evasions (Answer Relevance) (Lecture 10, Slide 'The RAG Triad')."
Why do classical machine translation metrics like BLEU and ROUGE fail to reliably evaluate RAG answers?,They are too computationally intensive to run during offline evaluations.,"They require dense vector inputs, whereas RAG answers are string characters.","An answer can be perfectly correct but use synonyms, leading to near-zero word overlap, or it can copy 90% of a reference sentence but negate the key clause, scoring high while being completely wrong.",They are strictly limited to bilingual corpora and cannot support English text.,They over-penalize the 'say so' escape hatch of the model template.,C,"BLEU and ROUGE evaluate word overlap. High-quality answers using different wording (e.g., synonyms) score poorly, while grammatically identical answers with fatal logical negations score highly (Lecture 10, Slide 'Why N-Gram Metrics Fail Here')."
How does the Hypothetical Document Embedding (HyDE) technique address the 'query-document asymmetry' in dense retrieval?,It uses a dual-encoder to convert queries into sparse lexical bigrams.,"It prompts an LLM to generate a fictional answer first, embeds that hypothetical draft, and uses its vector to search the index instead of the raw short query.",It applies K-Means to divide the document vectors into 256 sub-spaces.,It truncates the document size to match the literal token length of the query.,It enforces a causal mask over the document embeddings during offline ingestion.,B,"Queries are short and interrogative, while documents are long and declarative. HyDE prompts the LLM to write a draft answer. Though facts may be wrong, its declarative form and vocabulary align better with document-shaped vectors in the index (Lecture 10, Slide 'HyDE: Search with a Hypothetical Answer')."
"A user asks, 'How does Intel's customer concentration in FY2025 compare with AMD's?' If the information sits in two separate documents, why does a standard dense retriever often fail, and how does query decomposition resolve this?",Standard retrieval fails because AMD and Intel are OOV words; decomposition replaces them with synonyms.,"A single query vector sits in the middle of both documents, retrieving only half the evidence (typically 1/2 gold pages); decomposition splits the prompt into narrower sub-questions targeting each filing separately.","It fails because the context window is limited to 1,000 tokens; decomposition reduces the chunk size to characters.",Decomposition converts the dense vectors into sparse BM25 indices at runtime.,Standard retrieval fails due to post-filtering; decomposition enables pre-filtering.,B,"As demonstrated in the case study, a single query vector attempting to retrieve two disparate documents often lands in the middle, recovering only one company's facts (yielding incomplete answers). Query decomposition generates specific queries for each target document (HW11, Section 3)."
RAG production pipelines often implement a two-stage 'Reranker Funnel'. Why is this architecture mathematically and economically optimal?,"Stage 1 is a slow generative cross-encoder, while Stage 2 is a fast dense vector search.",It completely eliminates the need for any vector database or indexing offline.,"Stage 1 optimizes for recall using cheap, wide search (e.g., hybrid RRF over millions of chunks), while Stage 2 optimizes for precision by using an expensive cross-encoder only on the top 50-100 candidates.",It converts 4-bit weights into FP32 weights on the fly during generation.,It limits the context window size of the generator to exactly 17 tokens.,C,"Cross-encoders provide precise similarity scores by performing joint attention over the query and passage together, but they are too slow to run on millions of documents. The funnel utilizes cheap search first, reserving heavy model capacity for a small candidate pool (Lecture 10, Slide 'The Reranking Funnel')."
"According to the slide decks, what is the core 'rule of thumb' when choosing between RAG and supervised fine-tuning (SFT)?","Fine-tune for formatting, retrieve for exact vocabulary size.","Fine-tune for 'how' (behavior, tone, style, output constraints), retrieve for 'what' (factual knowledge, active updates, source citations).","Fine-tune for speed, retrieve for lower token consumption.","Fine-tune on-device, retrieve in the cloud.","SFT is used strictly for offline databases, while RAG is used strictly for real-time web search.",B,"Fine-tuning specializes a model's format, tone, and behavioral constraints. Retrieval provides access to unbounded, dynamic factual knowledge with tracing and citations (Lecture 10, Slide 'Prompting, RAG, or Fine-Tuning')."
"In the 'RAG on One Laptop' case study (47 page-level chunks), what notable result was observed regarding the 22M-parameter MiniLM Dense and the 0.6B-parameter Qwen Dense embedding models?","MiniLM Dense completely failed, returning 0% recall across all test queries.","MiniLM Dense (25x smaller) posted the best Recall@3 of the entire study (0.759 vs 0.739 for Qwen Dense), showing that large embedder capacity is mostly needed for massive, messy, multi-domain corpora.",Qwen Dense was 100x faster than MiniLM Dense on Apple Silicon.,Rerankers improved Qwen Hybrid's MRR significantly while degrading MiniLM Hybrid.,Neither model was able to outperform the zero-retrieval baseline.,B,"Capacity pays off in massive, messy datasets. On a small, well-separated 47-chunk hospital policy corpus, the tiny 22M MiniLM model held its ground and even slightly edged out the 0.6B model on Recall@3 (Lecture 10, Slides 'Retrieval Results' and 'Reading the Numbers')."
"In the same case study, why did the application of a 22M-parameter reranker actually lower the MRR of the Qwen Hybrid pipeline (from 0.925 down to 0.887)?",Because cross-encoders cannot process causal masking.,The reranker was too large to fit in the laptop's GPU memory alongside the generator.,A weaker Stage 2 model can overrule and degrade a Stage 1 ranking that was already superior to the reranker's own trained judgment.,The reranker forced all retrieved chunks to be padded with the mask token.,The document filings were written in a language unknown to the cross-encoder.,C,"Stage 2 models must be stronger than Stage 1 retrievers. If a highly capable embedder (Qwen Hybrid) is post-processed by a smaller, weaker reranker (MiniLM), the reranker can make mistakes and drag down an already high-quality rank list (Lecture 10, Slide 'Reading the Numbers')."
How does the 'Looping' RAG architecture differ from 'Conditional' or 'Branching' architectures?,Looping architectures run retrieval continuously after the final answer is shown to the user.,"Looping architectures inspect the retrieved results or partial generations, decide programmatically if more information is needed, and iteratively rewrite the query and retry under a budget.","Branching retrieves from a single index, while looping retrieves from multiple SQL databases simultaneously.",Looping completely bypasses the generator stage.,There is no difference; they are synonymous terms in system design.,B,"Looping RAG involves agentic feedback loops. An LLM agent can evaluate its own retrieved content, recognize gaps, and perform iterative, search-and-revise loops to gather sufficient information (Lecture 10, Slide 'Four RAG Architectures')."
"According to Perplexity and Anthropic agent-skill development practices, why should developers 'write evaluations first' (Step 0) before authoring instructions for an agent skill?",It allows the compiler to convert python-docx into pdf files.,Writing evaluations first guarantees that the agent's latency is reduced to zero.,"Authoring a skill without a verified, failing representative task case to fix is guesswork; evals capture the specific failure to guide precise, narrow instructions.",It is a strict requirement of the Model Context Protocol (MCP).,It allows the database to pre-filter HNSW nodes.,C,"Writing evaluations first prevents developers from guessing prompt guidance. Recording specific failures on tasks without the skill ensures instructions are written specifically to close documented gaps (HW10, Reading Response)."
How should developers utilize the file structure hierarchy when designing agent skills to optimize context window tokens and cost?,"Copy all schemas, long examples, and edge cases directly into the main SKILL.md.","Keep the decision procedure in SKILL.md and push heavy schemas, reference files, and edge cases into a references/ subdirectory, as references cost nothing until the agent chooses to preview them.",Store everything in a SQL database and use BM25 to search SKILL.md.,Restrict SKILL.md to exactly 50 words to avoid prompt verbosity bias.,Convert all reference files into 4-bit NF4 quantized embeddings.,B,"Putting everything in the main skill prompt balloons token consumption on every turn. The hierarchical structure keeps SKILL.md lightweight, and references are only loaded dynamically if the agent requests them (HW10, Reading Response)."
"Perplexity notes that agent skills are 'append-mostly' in production. Why does removing lines from an established skill prompt often cause regression, and how should updates be made?",Removing lines breaks the JSON schema validation of the MCP protocol.,Removing a line usually reintroduces the exact historical failure that put it there; revisions should append narrow guidance and let the evaluation suite decide what survives.,It causes the cross-encoder reranker to fail.,Revisions must always be made by fine-tuning the base weights of the model.,Appending lines is the only way to increase the HNSW efSearch parameter.,B,"Skills evolve as patches to edge-case failures. Deleting prompts to 'clean up' often causes regressions on past bugs. The correct practice is to append specific adjustments and let regression testing evaluate safety (HW10, Reading Response)."
What is 'Late Chunking' and how does it preserve cross-chunk context?,It delays the tokenization of the text until after the LLM has generated the response.,It embeds small child chunks and retrieves larger parent sections.,"It encodes the entire un-split document through the Transformer first, then derives individual chunk vectors from the contextual token hidden states, preserving global context.",It runs BM25 on the query and dense retrieval on the document at the same time.,It skips padding tokens during the indexing phase of IVF search.,C,"Late chunking processes the whole document through the contextual layers first, so token representations carry cross-chunk context before they are split and pooled into chunk vectors (Lecture 10, Slide 'Chunking Strategies')."
What did the famous 'needle-in-a-haystack' test reveal about very long context LLMs?,"Models have perfect recall at all depths if the context is exactly 1,000,000 tokens.","Accuracy stays high for short inputs but sags at mid-depth once context grows, showing models frequently ignore facts buried in the middle of long prompts.",Models can only find 'needles' if they are placed at the very beginning of the context.,Sparse retrieval is completely replaced by long context windows.,The temperature parameter has no effect on long-context attention.,B,"The 'needle-in-a-haystack' heatmap shows that recall sags as the context window fills, particularly for information located in the middle of the prompt (the 'lost in the middle' effect), which is a key reason retrieval remains critical (Lecture 10, Slide 'Do Million-Token Contexts Retire Retrieval?')."
"In RAG prompt engineering, why is it critical to include a phrase such as 'If the context does not contain the answer, say so'?",To force the model to utilize its internal training cutoff facts.,To minimize the activation of Layer Normalization parameters.,"It prevents the model from falling back on parametric memory when retrieval fails, which silently converts retrieval misses into hallucinations.",It allows the cross-encoder to run in parallel on a SQL database.,It is required for the Reciprocal Rank Fusion formula to compute properly.,C,"Without this 'escape hatch', a model prompted with irrelevant retrieved chunks will attempt to answer using its pre-trained parametric knowledge, creating convincing hallucinations (Lecture 10, Slide 'Phase 3: Synthesis by Prompt Construction')."
"The Model Context Protocol (MCP), released in late 2024, standardizes how agents connect to tools and data. What are its three primary architectural layers?","Query, Chunk, and Vector.","Policy, Reference, and Reward.","Server (exposes tools, resources, and prompts), Client (speaks the protocol), and Host (user-facing app embedding clients like Cursor or Claude Desktop).","Encoder, Decoder, and Cross-Attention.","Dense, Sparse, and Rerank.",C,"MCP standardizes integrations. The Server exposes tools, resources (URIs), and prompts. The Client connects to the Server. The Host embeds the Client and provides model access (Lecture 11, Slide 'MCP: Model Context Protocol')."
"Which of the following highlights a unique capability of MCP servers that goes beyond standard, raw function-calling?","MCP servers can pause execution to request structured elicitation from users, ask the host's model for completions (sampling), and resume interrupted streams.",MCP servers compile python-docx files directly into GGUF model adapters.,MCP servers execute gradient descent over frozen base weights.,They eliminate the need for any serving frameworks like vLLM.,They automatically quantize all incoming metadata filters.,A,"MCP is more than function-calling because it supports interactive, multi-turn behaviors such as user elicitation and model sampling while keeping API keys secure on the host (Lecture 11, Slide 'MCP: Model Context Protocol')."
"Lexical search (BM25) records, for every term, the list of documents that contain it. What is this index structure called, and how does the inverse document frequency (IDF) weight terms?",Centroid map; IDF increases weights for high-frequency terms.,Inverted index; IDF increases weights as terms grow rarer across the corpus.,Proximity graph; IDF normalizes term magnitudes.,Posting list; IDF multiplies term frequency by average document length.,Skip-list; IDF assigns OOV tokens to a fixed index.,B,"Lexical search utilizes an inverted index. The term's IDF weight rises as the term grows rarer across the corpus, focusing the search on highly distinctive keywords (HW10, Problem 12)."
"How does Product Quantization (PQ) differ from the weight quantization (e.g., NF4) used in model fine-tuning?","PQ is used strictly for model gradients, while weight quantization is used for activation layers.","Weight quantization shrinks the model's neural parameters, while PQ splits high-dimensional stored key vectors into subvectors and maps them to sub-space centroids to fit huge document indexes in RAM.","PQ runs in FP32 precision, while weight quantization runs in double-precision.","PQ is a sparse representation, while weight quantization is a dense representation.",There is no difference; both compress parameters to 4-bit integers.,B,"While both reduce memory footprint, weight quantization targets the active parameters of the neural network. PQ targets the stored vectors of the document database, splitting dimensions into subvectors and storing centroid indices (Lecture 10, Slide 'Compressing the Index: Product Quantization')."
"Unlike some space-partitioning trees (like k-d trees) that suffer from the curse of dimensionality, how does HNSW support adding new documents to an existing index without rebuilding the entire index?",It uses a B-tree to re-shard the database.,"It supports incremental insertion, where a new vector is greedily linked into the layered graph structure at ingestion time.",It converts all existing nodes to 4-bit representations.,It runs a weekly pre-filtering pipeline that purges low-recall nodes.,It stores new documents in a separate BM25 inverted index.,B,"k-d trees fail in high dimensions. HNSW navigates the curse of dimensionality and supports incremental inserts, using the same greedy search used at query time to link new vectors directly into the existing graph (HW10, Problem 16)."
"In the 'RAG on One Laptop' study, what was the performance of the BM25-only baseline on the 20-question test set, and what engineering implication follows?","BM25 scored 0% MRR, proving that lexical search is obsolete.","BM25 reached a strong 0.796 MRR with zero GPU memory overhead, demonstrating that sparse search is a cheap and effective baseline that must be measured before deploying complex neural retrievers.",BM25 required more than 16 GB of VRAM to run.,It outperformed the Qwen Hybrid pipeline by 20 accuracy points.,BM25 was unable to resolve exact error codes and drug names.,B,"BM25 is highly cost-effective and performs remarkably well. Scoring 0.796 MRR without a GPU or embedding latency shows that sparse retrieval is an essential baseline to compare against (Lecture 10, Slide 'Reading the Numbers')."
"In the spectrum of system design, how are 'Workflows' distinguished from 'Fully Autonomous Agents' according to Lecture 11?","Workflows run on CPUs, while agents run strictly on GPUs.","Workflows use pre-quantized models, while agents require full FP16 precision.","In workflows, the control flow is pre-defined in code by a human developer (predictable and consistent); in autonomous agents, the model itself determines the execution path and steps dynamically.","Workflows are only compatible with BM25, while agents require dense retrievers.","Workflows are strictly offline, while agents are strictly online.",C,"Workflows orchestrate models and tools through predefined paths written in code by developers. Agents are given tools, memory, and loops, and make runtime decisions about what steps to take dynamically (Lecture 11, Slide 'Two Kinds of Agentic System')."
