question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"Consider the following five short documents from HW8:
d1 = 'the moon is bright tonight'
d2 = 'baseball is a popular sport'
d3 = 'the astronaut landed on the moon'
d4 = 'the game of baseball was exciting'
d5 = 'space missions explore the moon'
What is the cosine similarity between d1 and d3 using term-frequency bag-of-words vectors over the 19-word vocabulary?",0.2,0.29,0.4,0.47,0.55,D,"The shared terms are 'the' and 'moon'. In d1, counts are: the=1, moon=1, is=1, bright=1, tonight=1 (norm = sqrt(5) ≈ 2.236). In d3, counts are: the=2, moon=1, astronaut=1, landed=1, on=1 (norm = sqrt(8) ≈ 2.828). Dot product = (1*2) + (1*1) = 3. Cosine similarity = 3 / (sqrt(5) * sqrt(8)) = 3 / sqrt(40) ≈ 0.47."
"Under scaled dot-product attention, why does the dot product (q · k) of two independent dk-dimensional vectors with mean 0 and variance 1 have a variance of dk?","Because the dot product is the sum of dk terms, each of which is the product of two independent variables with variance 1, making the sum of their variances dk.",Because the softmax function multiplies the variance of its input by the square root of the dimension.,Because positional encodings inject a variance of exactly dk into the token embeddings.,Because the causal mask forces half of the dot product terms to become exactly zero.,Because the weight matrices WQ and WK are initialized to have a determinant equal to dk.,A,"The dot product q · k is a sum from i=1 to dk of q_i * k_i. If q_i and k_i are independent random variables with mean 0 and variance 1, the product q_i * k_i has mean 0 and variance 1. Summing dk such independent terms yields a variance of dk."
What is the primary operational consequence of omitting the division by sqrt(dk) in the attention score computation as the query-key dimension dk grows large?,"The attention scores become zero, leading to underflow issues.","The dot products grow in magnitude, pushing the softmax into saturated regions where gradients nearly vanish and learning stalls.","The model's parameter count grows quadratically with dk, leading to out-of-memory errors.","The attention matrix becomes symmetric, destroying the model's ability to model directed relationships.","The feedforward layers are bypassed, turning the model into a linear classifier.",B,"As dk grows, the variance of the raw dot product grows, leading to extremely large positive or negative scores. When softmaxed, the highest score dominates completely (approaching 1, others 0), which saturates the softmax and collapses its gradients to near zero."
"A toy self-attention layer processes three word vectors stacked as rows of X (sun, planet, baseball):
X = [[1, 0, 1], [0, 1, 1], [1, 1, 0]]
using the query projection matrix WQ = [[1, 0, 0], [0, 0.5, 0], [0, 0, 2]].
What is the query vector for planet (the second row of Q = X*WQ)?","[0, 1, 1]","[0, 1, 2]","[0, 0.5, 2]","[1, 0.5, 0]","[1, 0.5, 2]",C,"The query matrix is Q = X * WQ. For the second row ('planet', input [0, 1, 1]): Q_2,1 = 0*1 + 1*0 + 1*0 = 0. Q_2,2 = 0*0 + 1*0.5 + 1*0 = 0.5. Q_2,3 = 0*0 + 1*0 + 1*2 = 2. Thus, q_planet = [0, 0.5, 2]."
"Using the setup from the previous question, with keys k_sun = (1, 1, 1), k_planet = (0, 3, 1), and k_baseball = (1, 2, 0). If the query for planet is q_planet = (0, 0.5, 2), what are the raw attention scores s = q*K^T (in the order sun, planet, baseball)?","[2.5, 3.5, 1]","[1, 3.5, 2.5]","[2.5, 1, 3.5]","[3.5, 2.5, 1]","[3.5, 1, 2.5]",A,"The score is q · k for each key. For sun: 0*1 + 0.5*1 + 2*1 = 2.5. For planet: 0*0 + 0.5*3 + 2*1 = 3.5. For baseball: 0*1 + 0.5*2 + 2*0 = 1.0. Thus, s = (2.5, 3.5, 1)."
"In a simplified attention head over the words 'the cat sat', the raw scores for 'sat' are (1, 2, 1). After scaling by sqrt(dk) = sqrt(2) ≈ 1.41, the scaled scores are (0.71, 1.41, 0.71). What are the resulting softmax attention weights (α_the, α_cat, α_sat)?","[0.33, 0.33, 0.33]","[0.25, 0.50, 0.25]","[0.20, 0.60, 0.20]","[0.10, 0.80, 0.10]","[0.15, 0.70, 0.15]",B,"Exponentiating gives: exp(0.71) ≈ 2.03, exp(1.41) ≈ 4.10, exp(0.71) ≈ 2.03. The sum is 2.03 + 4.10 + 2.03 = 8.16. Normalizing gives α_the = 2.03/8.16 ≈ 0.25, α_cat = 4.10/8.16 ≈ 0.50, and α_sat = 2.03/8.16 ≈ 0.25."
"Using the attention weights from the previous question (α_the = 0.25, α_cat = 0.50, α_sat = 0.25) and value vectors v_the = (1, 0), v_cat = (1, 1), and v_sat = (0, 1), what is the blended context vector a_sat?","[0.50, 0.50]","[0.25, 0.75]","[0.75, 0.50]","[0.75, 0.75]","[1.00, 1.00]",D,"a_sat = 0.25 * (1, 0) + 0.50 * (1, 1) + 0.25 * (0, 1) = (0.25, 0) + (0.50, 0.50) + (0, 0.25) = (0.25 + 0.50 + 0, 0 + 0.50 + 0.25) = (0.75, 0.75)."
What is the primary structural reason that a Transformer block trains significantly faster on a GPU than a recurrent neural network on long sequences?,Transformers require zero parameters to represent positional information.,Transformers process tokens sequentially but use a optimized C++ compilation step.,"Attention operations are computed for the entire sequence at once via highly parallelized matrix multiplications, bypassing sequential token-by-token state updates.",Transformers use a linear-time pooling layer that reduces the sequence length by half at every block.,"Transformers discard the embedding layer, running strictly on raw text hashes.",C,"While RNNs are bound to sequential time-step computations, the self-attention mechanism computes the Q, K, and V vectors for all tokens in parallel. This allows the quadratic sequence computation to be fully parallelized across GPU cores."
"The time and memory complexity of standard self-attention grows quadratically with sequence length N, i.e., O(N^2). What specific mathematical step is responsible for this?",Multiplying the input sequence X of shape N x d by the projection matrix W_Q.,"Generating and storing the N x N score matrix Q * K^T, which requires computing the dot product of every query with every key in the sequence.","The positional encoding summation, which requires an element-wise addition of size N x d.",Applying the dropout wrapper with a rate of 0.5 over the final feedforward layer.,Running the Adam optimizer over the parameter weights in the backward pass.,B,"Because each of the N tokens must attend to every other token, the score matrix contains N^2 entries. Computing and holding this attention map in memory leads to quadratic scaling, making long contexts computationally expensive."
How is causal masking implemented in the self-attention layer of a GPT-style causal decoder?,Setting the learning rate of future tokens to zero during backpropagation.,Dropping out the future tokens at random with a probability of 0.5.,Setting all raw attention scores above the diagonal of the N x N score matrix to -infinity before the softmax is applied.,Pre-filtering the dictionary vocabulary to exclude words that occur later in the sentence.,Replacing the softmax activation function with a rectified linear unit (ReLU).,C,"By setting elements above the diagonal (which represent a token attending to future tokens) to -infinity, their exponentiated values become zero. Thus, the softmax assigns them zero weight, mechanically preventing any token from peeking at future tokens."
"In a multi-head self-attention layer with model dimension d_model and h heads, how are the dimensions of the projection matrices WQ, WK, and WV managed per head?","Each head retains the full shape of d_model x d_model, increasing parameters by a factor of h.","Each head projects inputs to a lower value dk = d_model / h, so the concatenated outputs reconstruct the model width d_model without increasing parameter size.","Heads are stacked sequentially, so head h_i can only process tokens after head h_{i-1} finishes.",The projections are replaced with a single global pooling vector shared across all heads.,"Only the first head uses learnable weights, while the other h-1 heads are frozen random projections.",B,"In Vaswani et al. (2017), h heads are computed in parallel by splitting the model dimension. Each head projects to dk = dv = d_model / h. Their outputs are concatenated to reconstruct d_model, making multi-head attention parameter-equivalent to a single-head attention of size d_model."
"A multi-head self-attention layer has model dimension d_model = 512 and h = 8 heads. It learns four projection matrices WQ, WK, WV, and the output projection WO, each of shape 512 x 512 with no bias terms. How many trainable parameters does this layer contain in total?","131,072","262,144","786,432","1,048,576","2,097,152",D,"Each of the 4 projection matrices has shape 512 x 512, which represents 512 * 512 = 262,144 parameters. Since there are no biases, the total parameter count is 4 * 262,144 = 1,048,576. Splitting into 8 heads reshapes these projections but adds no parameters."
What is the primary conceptual advantage of multi-head attention over a single large attention head?,It reduces the time complexity of attention from quadratic to linear.,It allows the model to jointly attend to information from different representation subspaces at different positions simultaneously.,It guarantees that the gradient of the softmax function never vanishes during backpropagation.,It removes the requirement of adding positional encodings to token embeddings.,It compresses the hidden states to fit on a single consumer-grade CPU.,B,"Multi-head attention lets different heads specialize in different relationships. For instance, one head can track verb-subject agreements, another can focus on coreference resolution, and a third on local adjectives, which is difficult for a single averaged attention head to capture."
What vectors are summed together to form the input matrix X that enters the very first Transformer block in a standard architecture?,Token embeddings and target labels.,Token embeddings and positional encodings.,Word co-occurrence counts and TF-IDF weights.,Query vectors and Key vectors.,Hidden states and cell states.,B,"To preserve sequence order while maintaining parallel computation, the raw token embeddings are added element-wise to positional encodings of the same dimension before entering the first attention layer."
Why must positional encodings be explicitly added to token embeddings in a Transformer block?,Because the embedding lookup table is non-differentiable without them.,"Because self-attention is permutation-equivariant and treats the input as an orderless bag of tokens, completely ignoring word order without them.",To normalize the magnitudes of the embedding vectors to exactly 1.0.,To force the vocabulary size to match the context length.,To regularize the network and prevent it from memorizing the training dataset.,B,"Without positional encodings, swapping any two words in a sentence yields the exact same attention outputs (aside from the final position realignment). Positional encodings inject unique positional signatures so the model can distinguish word order."
What is a defining characteristic of the sinusoidal positional encodings proposed by Vaswani et al. (2017)?,"They are learned dynamically during backpropagation, just like token embeddings.","They use fixed sine and cosine waves of varying frequencies, allowing the model to generalize to sequence lengths longer than those seen during training.",They are binary vectors of 0s and 1s representing absolute token indices.,They double the dimension of the embedding space at each successive layer.,They are computed on the GPU by running a small auxiliary unrolled RNN.,B,"Sinusoidal encodings use fixed, deterministic trigonometric functions. This geometric pattern ensures that for any fixed offset k, the positional encoding at pos+k can be represented as a linear function of the encoding at pos, facilitating generalization."
Which of the following correctly describes how residual connections and layer normalization are structured in a standard Post-LN Transformer block?,"Layer normalization is applied once at the end of the entire block, with no residual paths.","A residual connection wraps both the multi-head attention sublayer and the feedforward sublayer, with layer normalization applied to the sum of the sublayer input and output.","Residual connections are applied only within the attention head projections, and layer normalization is omitted.",Layer normalization is applied to the weights of the projection matrices before the forward pass.,"The feedforward layer is bypassed entirely by the residual connection, which connects the input directly to the output.",B,"In a standard Post-LN Transformer block, each of the two sublayers (Attention and FFN) is wrapped in a residual connection: x = LayerNorm(x + Sublayer(x)). This allows gradients to flow directly through the residual path, stabilizing training of deep networks."
How does the position-wise feedforward network (FFN) sublayer in a Transformer block process the sequence of hidden states?,It runs a 1D convolution over adjacent tokens to mix spatial detail.,"It processes each token's vector independently and in parallel through the exact same dense layers, acting strictly as individual 'lanes'.",It uses an auxiliary LSTM to pass a hidden state from left to right.,It averages all token representations into a single global vector.,It randomly shuffles the tokens before passing them through a linear layer.,B,"The FFN is applied to each position separately and identically. While the self-attention layer allows tokens to mix information across different positions, the FFN operates strictly within each token's individual path, acting as 'lanes'."
What is the primary difference in how attention is applied in a BERT-style encoder-only Transformer versus a GPT-style decoder-only Transformer?,"BERT uses unmasked bidirectional attention allowing every token to see the whole sequence, while GPT uses causal masking to restrict attention to a token's past and present.","BERT requires sinusoidal positional encodings, while GPT must use learned absolute positional encodings.","BERT is trained using a supervised sequence classification loss, while GPT is trained only via reinforcement learning.","BERT is trained in a single closed-form counting pass, while GPT requires backpropagation.","BERT has no feedforward sublayers, while GPT contains only feedforward sublayers.",A,"BERT is bidirectional, making it ideal for language understanding tasks where the full context is available (like classification or NER). GPT is causal, meaning future tokens are masked, which is mandatory for generative autoregressive next-token prediction."
How is a pretrained BERT-style model typically adapted for a downstream text classification task?,By running causal generation over a prompt containing few-shot examples.,"By prepending a special [CLS] token to the input, and training a small classification head on top of its final-layer representation while fine-tuning the model.",By extracting the weights of the feedforward layers and using them in a Naive Bayes classifier.,By converting the model's vocabulary into subwords using BPE and taking the mean count.,By freezing all self-attention layers and training only the embedding lookup table.,B,"BERT prepends a [CLS] (Classification) token to every input. During pretraining, this token represents sentence-level context. For downstream classification, a simple linear classifier is placed over the final hidden state of the [CLS] token and trained on labeled data."
What is the mathematical formulation of the pretraining objective for a causal language model like GPT?,Predicting masked tokens using cross-entropy: L = -sum(log P(w_masked | context)).,Maximizing the cosine similarity between matching sentence pairs.,"The cross-entropy loss of next-token prediction: L = -1/T * sum_{t=1}^T log P(w_t | w_{<t}), scored in parallel across all sequence positions.",The Bradley-Terry objective over preferred and rejected response pairs.,Minimizing the Euclidean distance between token and positional embeddings.,C,"Causal language models are trained via self-supervised next-token prediction. For a sequence of length T, every position contributes a term to the average negative log-likelihood (cross-entropy), and all positions are scored in parallel during training."
"What is the primary evaluation metric used in the dair-ai/emotion case study (HW8), and why is it chosen?","Mean Reciprocal Rank (MRR), because the task is a document retrieval problem.","Average Precision (AP), because the model evaluates bounding boxes for emotion detection.","Accuracy and macro-averaged F1, because the dataset has highly skewed class frequencies where rare emotions drag overall performance down.","Perplexity, because the model is evaluated strictly as a next-token text generator.","BLEU score, because the output is a translated sequence of emotion labels.",C,"The dair-ai/emotion dataset has highly skewed frequencies; common emotions like joy and sadness dominate, while surprise and love are rare. Reporting macro-F1 next to accuracy isolates how well the model performs on the minority classes."
"In the dair-ai/emotion case study, why did the fine-tuned DistilBERT model significantly outperform the from-scratch sequence models (BiLSTM and Transformer)?",Because DistilBERT contains fewer parameters than the from-scratch sequence models.,"Because DistilBERT's weights were initialized to zero, avoiding any random noise at step 0.",Because pretraining on massive unannotated corpora supplied extensive general language knowledge that rare classes could not learn from task-specific data alone.,Because DistilBERT is trained strictly using Naive Bayes counting passes.,"Because DistilBERT does not utilize positional encodings, reducing token confusion.",C,"Pretrained models leverage transfer learning. The general syntactic and semantic structures learned during pretraining on billions of tokens allow the model to generalize well, even on rare target emotions (like love and surprise) with minimal training data."
"In the error analysis of the dair-ai/emotion case study (HW8), why was the macro-F1 score consistently lower than overall accuracy across all models?",Because the macro-F1 calculation does not utilize precision or recall metrics.,"Because the rare emotions (love and surprise) are hard to distinguish and suffer from low recall, heavily dragging down the unweighted average of per-class F1 scores.",Because the models overfit heavily on the rare emotions and achieved zero accuracy on joy.,"Because accuracy was evaluated on the training set, while macro-F1 was evaluated on the test set.",Because the macro-F1 calculation is mathematically identical to a random guess baseline of 25%.,B,"Macro-F1 is the arithmetic mean of F1 scores calculated for each class independently. Because rare emotions have fewer examples and heavy semantic overlap with common classes (like love with joy), their low F1 scores drag the average down, while overall accuracy remains high due to dominant classes."
"According to the BiLSTM confusion matrix in the dair-ai/emotion case study (HW8), among which semantically adjacent emotions did errors most heavily concentrate?",sadness and surprise,"joy and love, and surprise and fear","anger and surprise, and joy and sadness","fear and love, and sadness and anger","surprise and anger, and joy and fear",B,"The confusion matrix reveals that off-diagonal misclassifications were concentrated between joy and love (36 joy -> love, 26 love -> joy), and the rare surprise class leaked mostly into fear (12 cases), due to vocabulary and situational overlap in the message texts."
"In the ADE Corpus v2 case study, what is the primary task, and what is its class distribution balance?",Classifying movie reviews into positive or negative; it is balanced 50/50.,Extracting bounding boxes around medical rash images; it is highly balanced.,Deciding if a MEDLINE sentence describes a drug-related adverse effect (Related) or not (Not-Related); it is imbalanced with only 29% in the Related class.,Translating clinical notes from English to Spanish; it is highly balanced.,Predicting the next word in patient records; it is unannotated and has no classes.,C,"The ADE (Adverse Drug Effect) Corpus v2 consists of 23,516 sentences annotated for whether they express an adverse effect. The dataset is imbalanced, with only 29% labeled as Related, making recall and F1 on the positive class critical evaluation metrics."
"In the ADE Corpus v2 case study, the from-scratch Transformer encoder and the Bidirectional LSTM achieved effectively tied validation scores (~89% accuracy). Why did the Transformer fail to pull ahead?","Transformers are data-hungry and have a weaker inductive bias for sequence order than LSTMs, and the short sentences (median 17 words) blunted their long-range attention advantage.","Because the BiLSTM was pretrained, whereas the Transformer encoder was fine-tuned.","Because the Transformer did not contain any feedforward layers, preventing backpropagation.",Because the sequence lengths exceeded the quadratic constraint of the self-attention mechanism.,"Because early stopping was disabled for the Transformer, causing its training accuracy to stay near 25%.",A,"Self-attention must learn sequence order and locality from scratch, whereas RNNs have sequential order built into their recurrence. On short inputs (median 17 words) and without massive pretraining, the from-scratch Transformer cannot exploit its long-range modeling strengths and struggles to beat a simple LSTM."
"A 70B parameter model uses Grouped-Query Attention (GQA) in FP16 precision (2 bytes per parameter) with 80 layers, 8 Key-Value heads, and a head dimension of 128. For a sequence length of 4096 tokens, what is the approximate memory footprint of the Key-Value (KV) cache per sequence?",130 MB,350 MB,700 MB,1.3 GB,5.2 GB,D,"Memory of KV cache = 2 (Key and Value vectors) * 80 layers * 8 heads * 128 head dim * 4096 tokens * 2 bytes = 1,342,177,280 bytes ≈ 1.34 GB per sequence. This large footprint per active user sequence is why GQA and PagedAttention are essential serving strategies."
"The Chinchilla scaling law study (Hoffmann et al., 2022) revealed that many early large language models were undertrained. What was their core finding regarding compute-optimal training?",Model parameters should be scaled quadratically relative to token growth.,"Model parameters and the number of training tokens should scale in equal proportion, utilizing roughly 20 tokens per parameter.",Training should use only 1-bit quantized weights to optimize total compute.,Large models require 1000 times more parameters than training tokens to generalize.,Compute-optimal models must be trained strictly using RLHF preference data from epoch 0.,B,"The Chinchilla study showed that for a given budget, size and data should grow together. Compute-optimal training dictates that for every doubling of the compute budget, parameter count and token count should increase by approximately equal factors (approx. 20 tokens per parameter)."
"In Parameter-Efficient Fine-Tuning (PEFT), a LoRA adapter is attached to a frozen projection matrix W in R^{d x k} with rank r. How many trainable parameters does the adapter hold?",d * k,r * d * k,r * (d + k),r^2 * (d + k),d + k + r,C,"LoRA replaces the dense parameter update matrix d x k with the product of two low-rank matrices B in R^{d x r} and A in R^{r x k}. The trainable parameters are the sum of their individual sizes: (d * r) + (r * k) = r * (d + k). Since r is small (e.g. 8 or 16), this represents < 1% of the original matrix size."
