question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
Which configuration option must be provided to define the connection brokers when calling `.readStream` from Kafka?,""".option(""kafka.brokers"", ...)""",""".option(""kafka.bootstrap.servers"", ...)""",""".option(""bootstrap.servers"", ...)""",""".option(""kafka.connection.string"", ...)""",""".option(""kafka.hosts"", ...)""",B,"Slide 77 shows the connection option syntax as `.option(""kafka.bootstrap.servers"", ""host1:port1,host2:port2"")`."
What is the correct Spark Structured Streaming syntax to subscribe to a topic named 'events'?,"`.option(""topic"", ""events"")`","`.option(""subscribe"", ""events"")`","`.option(""kafka.topic"", ""events"")`","`.option(""subscription"", ""events"")`","`.option(""targetTopic"", ""events"")`",B,"Slide 77 ('Reading from Kafka') illustrates the subscription syntax as `.option(""subscribe"", ""events"")`."
"According to the schema returned by a Kafka source in Spark, what are the data types of the `key` and `value` columns?",string and string,binary and binary,string and binary,int and string,binary and string,B,Slide 78 ('Schema of the DataFrame generated by the Kafka source') lists `key` as column type `binary` and `value` as column type `binary`.
Which of the following columns is NOT part of the schema of a DataFrame generated by a Spark Kafka streaming source?,topic (string),partition (int),offset (long),timestamp (long),payload_schema (string),E,"Slide 78 lists the complete schema: key (binary), value (binary), topic (string), partition (int), offset (long), timestamp (long), timestampType (int). 'payload_schema' is not included."
"When writing a streaming query into Apache Kafka, which configuration option is required to provide fault tolerance and query recovery?","`.option(""failOnDataLoss"", ""true"")`","`.option(""checkpointLocation"", checkpointDir)`","`.option(""outputMode"", ""update"")`","`.option(""bootstrap.servers"", ...)`","`.option(""schemaEnforcement"", ""strict"")`",B,"Slide 79 ('Writing to Kafka') demonstrates using `.option(""checkpointLocation"", checkpointDir)` inside `.writeStream` to ensure state recovery and fault tolerance."
Why are traditional relational databases (RDBMS) considered limited for modern big data and AI engineering workloads?,They lack ACID transaction compliance and data integrity rules.,"They cannot efficiently scale up storage, variety of data types, and massive parallel compute demands.",They do not support structured SQL queries.,They cannot store simple integer or text data types.,"They only support dynamic, schema-less runtime scripting.",B,"Slide 6 ('The Importance of an Optimal Storage Solution') explains that traditional databases cannot scale to meet modern massive workload sizes, support diverse unstructured/semi-structured data, or handle distributed ML compute."
"What is a major limitation of raw, Spark-based Data Lakes as described in Lecture 10?",They are restricted to running on single-node local machines.,They cannot store semi-structured JSON or unstructured binary images.,"They lack ACID transaction guarantees, making data reliability and concurrent writes problematic.",They do not support high-level Spark DataFrame APIs.,They require expensive specialized hardware instead of commodity cloud storage.,C,"Slide 42 ('Data/Delta Lakes: Summary') states: 'Data lakes, built with Apache Spark, address some database shortcomings but lack ACID guarantees.'"
"Which architecture paradigm combines the scalability and low-cost storage of data lakes with the ACID transactions, schema management, and reliability of data warehouses?",Federated Multi-Cloud Database,Document Mesh,Data Lakehouse,Enterprise Metastore Store,Data Pipeline Grid,C,"Slide 42 and other summary slides state that Lakehouses emerge to merge the strengths of data lakes and databases, offering a versatile, scalable, and reliable data solution."
"Besides Delta Lake, which open-source lakehouse frameworks are explicitly mentioned in Lecture 10 slides?",Apache Spark and Hive Metastore,Apache Hudi and Apache Iceberg,Snowflake and Google BigQuery,Amazon S3 and Databricks Delta Tables,Apache Flink and Apache Cassandra,B,Slide 42 ('Data/Delta Lakes: Summary') states: 'Open Source Frameworks: Apache Hudi and Apache Iceberg facilitate the construction of lakehouses.'
How does Delta Lake build upon a raw data lake to ensure transaction logging and ACID guarantees?,By storing all transaction logs in an external PostgreSQL database,By recording commits as JSON files inside a transaction log folder alongside Parquet data files on cloud storage,By replicating data inside a separate ZooKeeper or Kafka coordination cluster,By converting all DataFrames into in-memory cached RDDs exclusively,By hosting data files on a proprietary database server,B,"The slide 'Delta Tables' shows that a Delta table contains Parquet data files and a transaction log directory (`_delta_log`) with commit history, which provides ACID transactions."
Who are the original creators of the open-source Delta Lake project hosted by the Linux Foundation?,George Washington University Department of Computer Science,The Apache Software Foundation Hive PMC,The original creators of Apache Spark,The Linux Kernel Core Development team,The Google BigQuery engineering team,C,"Slide 18 ('Delta Lake') states: 'Delta Lake is an open source project hosted by the Linux Foundation, built by the original creators of Apache Spark.'"
What concurrency level does Delta Lake provide to support robust concurrent operations when multiple writers access a table?,Read Uncommitted isolation,Serializable isolation,Read Committed isolation only,Local heap isolation only,"None, concurrent writes are strictly blocked",B,"Slide 18 ('Delta Lake Features') states: 'Provides serializable isolation for handling multiple same table simultaneously, thanks to advanced metadata management.'"
How does Delta Lake’s advanced metadata management support Structured Streaming pipelines?,By automatically compiling streaming code into Scala JVM bytecode,"By maintaining exact transaction details for streaming queries, supporting end-to-end exactly-once guarantees",By caching all streaming partitions in memory indefinitely,By bypassing the driver and writing directly to the Hive Metastore,By converting the streaming source into a relational SQL view,B,"Slide 31 ('Delta Lake's advantages in Structured Streaming') lists: 'Enhanced Metadata: Its sophisticated metadata system maintains exact transaction details for streaming queries, supporting end-to-end exactly-once guarantees.'"
Which of the following is a correct comparison between Delta Lake and Delta Tables as presented in Lecture 10?,"Delta Lake is commercial software, while Delta Tables are open source.","Delta Lake is the underlying open-source storage framework, whereas Delta Tables are structured tables built on top that add transactions and versioning.","Delta Lake only supports Scala, while Delta Tables only support Python.","Delta Lake is used for batch data, while Delta Tables are only for streaming.","Delta Lake requires a relational database, while Delta Tables run in the cloud.",B,"Slide 'Delta Lake Delta Tables Delta Live Tables (DLT)' explains that Delta Lake is the open storage framework, while a Delta Table is the table format built on it."
"What core database transaction principles are guaranteed by Delta Lake, even under highly concurrent workloads?","High Throughput, Low Latency, and Scalability","Atomicity, Consistency, Isolation, and Durability (ACID)","Declarative, Imperative, Compiled, and Interpreted","Static Typing, Immutability, and Compile-Time Safety","Orchestration, Scheduling, Retries, and Alerting",B,Lecture 10 emphasizes throughout that Delta Lake/Tables ensure ACID guarantees for all data writes under any concurrent condition.
What is 'Schema Enforcement' in Delta Lake?,Automatically changing the datatypes of target table columns to match new writes.,"Verifying compatibility by recording schema as table-level metadata, blocking writes, and triggering an error if incoming data doesn't match.",Enforcing schema checks only when executing analytical GROUP BY queries.,Bypassing write validations to speed up data ingestion pipelines.,Ensuring all column names are written in lowercase letters only.,B,"Slide 32 ('Enforcing Schema on Write') states: 'Delta Lake records the schema as table-level metadata, allowing it to enforce schema compatibility... If incoming data does not match... Delta Lake prevents corruption by blocking the write and triggering an error...'"
"How does Delta Lake's schema enforcement differ from formats like JSON, Parquet, and ORC?","Parquet and ORC enforce schema at write, whereas JSON does not.","JSON, Parquet, and ORC define layouts only at the individual file level, whereas Delta Lake enforces schema consistency across the entire table using metadata.",Delta Lake requires manual Java interface compilation to enforce types.,"JSON and Parquet are strictly typed, while Delta Lake is dynamic.",Delta Lake allows invalid schema writes but logs warnings.,B,"Slide 32 states: 'Delta Lake records the schema as table-level metadata, allowing it to enforce schema compatibility on all writes, unlike formats like JSON, Parquet, and ORC that only define data layouts at the file level.'"
What key benefit does Delta Lake’s Schema Verification provide for enterprise pipelines?,It increases compute clock speed on driver nodes.,It prevents data corruption and schema drift across the entire table.,It automatically converts Python dynamic typing to Scala static typing.,It allows direct compression of raw text logs to binary files.,It bypasses the need for checkpointing in streaming.,B,"Slide 32 states that Schema Enforcement prevents data corruption by blocking invalid writes, ensuring table consistency and preventing schema drift."
What feature in Delta Lake allows users to explicitly or implicitly modify a table's current schema to accommodate new columns over time?,Schema Evolution (or Schema Merge),Schema Coalescing,Metadata Rollback,Dynamic Type Cast,Schema Overwrite,A,Slide 18 ('Delta Lake Features') states: 'Delta Lake allows for schema evolution through explicit alterations or implicit merging during DataFrame writes.'
How can schema evolution be triggered implicitly during DataFrame write operations in Spark?,"By using `.option(""overwriteSchema"", ""true"")`","By using `.option(""mergeSchema"", ""true"")`",By casting all dynamic columns to string types first,By turning off the Delta transaction log folder,By deleting the database catalog metadata first,B,"In Delta Lake writes, setting `.option(""mergeSchema"", ""true"")` allows the schema of the write to evolve by merging new columns into the target table's schema."
Which set of operations does Delta Lake support directly in Spark to enable complex data transformations and pipeline flexibility?,"CREATE, DROP, and ALTER SQL catalog commands","UPDATE, DELETE, and MERGE (upsert) commands","SELECT, WHERE, and HAVING aggregate queries","GRANT, REVOKE, and DENY security configurations","In-memory cache, persist, and checkpoint pipeline blocks",B,"Slide 18 ('Delta Lake Features') states: 'Delta Lake enables complex data transformations by supporting UPDATE, DELETE, and MERGE (upsert) operations across multiple programming languages...'"
Why is the ability to run DELETE and UPDATE commands in Delta tables increasingly vital for modern organizations?,To speed up the network speed between distributed clusters.,To comply with strict privacy regulations like the EU's General Data Protection Regulation (GDPR) which mandates deleting user data.,Because Parquet file formats do not support basic storage compression.,To force the driver node to re-index all table partitions.,To convert unstructured streaming payloads into CSV structures.,B,"Slide 38 ('Deleting user-related data') states: 'With data protection policies like the EU’s General Data Protection Regulation (GDPR) coming into force, it is more important now than ever to be able to delete user data...'"
What is the correct Python or Scala syntax to delete records from a loaded `deltaTable` where the funded amount is greater than or equal to the paid amount?,"`deltaTable.drop(""funded_amnt >= paid_amnt"")`","`deltaTable.delete(""funded_amnt >= paid_amnt"")`","`deltaTable.remove(""funded_amnt >= paid_amnt"")`","`deltaTable.filter(""funded_amnt < paid_amnt"")`","`deltaTable.purge(""funded_amnt >= paid_amnt"")`",B,"Slide 38 illustrates the syntax as: `deltaTable.delete(""funded_amnt >= paid_amnt"")`."
"To perform programmatics DML updates or deletes on a Delta Table in Python/Scala, how must the table be instantiated first?",`spark.read.load(deltaPath)`,"`DeltaTable.forPath(spark, deltaPath)`",`spark.table(deltaPath)`,`DeltaTable.open(deltaPath)`,`DeltaTable.fromPath(deltaPath)`,B,"Slides 37 and 38 show the instantiation syntax as: `val deltaTable = DeltaTable.forPath(spark, deltaPath)` or `deltaTable = DeltaTable.forPath(spark, deltaPath)`."
How is a conditional update executed in Delta Lake using Python programmatic APIs?,By executing a `.select()` query and appending modifications.,"By calling the `.update()` method on a `DeltaTable` instance, passing a search condition and a dictionary of column-value modifications.",By executing an SQL `ALTER TABLE` statement inside a SparkSession.,By deleting the target table directories and writing new Parquet files.,By clearing the `_delta_log` metadata folder.,B,"Slide 37 shows the Python syntax: `deltaTable.update(""addr_state = 'OR'"", {""addr_state"": ""'WA'""})`."
"Which method is called on a `DeltaTable` object to retrieve transaction log details such as version numbers, timestamps, and operations?",`deltaTable.log()`,`deltaTable.history()`,`deltaTable.commits()`,`deltaTable.showHistory()`,`deltaTable.metadata()`,B,Slide 39 ('Auditing Data Changes') shows: `deltaTable.history().show()` is used to view table commits in the log.
What key metadata columns are typically selected to audit modifications using the Delta Table history command?,"partition, offset, payload, and payload_schema","version, timestamp, operation, and operationParameters","key, value, topic, and partition","schema, git_commit, container_id, and environment","file_path, file_size, row_count, and execution_time",B,"Slide 39 shows a code snippet selecting: `.select(""version"", ""timestamp"", ""operation"", ""operationParameters"")`."
What capability does Delta Lake's 'Time Travel' feature provide to data developers?,The ability to accelerate streaming execution speed using previous checkpoints.,"The ability to query specific, historic table snapshots by version ID or timestamp, and roll back to correct errors.",The ability to automatically predict future table sizes using ML models.,The ability to execute Python scripts in historical JVM environments.,The ability to run SQL queries without active SparkSessions.,B,Slide 18 ('Delta Lake Features') states: 'it features time travel capabilities for querying specific table snapshots by ID or timestamp and rolling back to previous versions to correct errors.'
Which two DataFrameReader options are specified when reading a historic snapshot of a Delta Table with Spark?,"""version"" and ""timestamp""","""versionAsOf"" and ""timestampAsOf""","""snapshotVersion"" and ""snapshotTime""","""historicalVersion"" and ""historicalTime""","""rollbackVersion"" and ""rollbackTime""",B,"Slide 41 ('Querying Previous Snapshots of a Table with Time Travel') states: 'You can query previous versioned snapshots of a table by using the DataFrameReader options ""versionAsOf"" and ""timestampAsOf"".'"
Which of the following is a correct syntax example for querying a Delta Table snapshot at version 4 using Python?,"`spark.read.format(""delta"").option(""version"", 4).load(deltaPath)`","`spark.read.format(""delta"").option(""versionAsOf"", ""4"").load(deltaPath)`","`spark.read.format(""delta"").option(""timestampAsOf"", ""4"").load(deltaPath)`",`spark.read.delta(deltaPath).version(4)`,"`spark.read.format(""delta"").load(deltaPath).option(""version"", ""4"")`",B,"Slide 41 illustrates the Python syntax as: `(spark.read.format(""delta"").option(""versionAsOf"", ""4"").load(deltaPath))`."
What is Delta Live Tables (DLT) in the Databricks/Delta Lake ecosystem?,A dynamic GUI editor for editing SQL views inside a browser.,"A managed data pipeline framework built on top of Delta Lake that orchestrates execution, dependencies, and data quality checks.",An interactive real-time message stream replacing Kafka.,A programmatic script to deploy Spark sessions directly inside Docker.,A scheduler used exclusively to orchestrate external ML models.,B,Slide 18 ('Delta Live Tables (DLTs)') states: 'Delta Live Tables is a managed framework for building and orchestrating reliable data pipelines on Delta Lake with automated execution and data quality checks.'
How do developers define data transformations when building a pipeline under the Delta Live Tables framework?,By writing step-by-step sequential cron-scheduled bash scripts.,By describing data transformations declaratively as tables using SQL or Python rather than writing procedural jobs.,By manually defining partition boundaries and writing custom JVM Jar files.,By designing XML task maps to load into external Airflow servers.,By scraping source endpoints using custom BeautifulSoup classes.,B,Slide 43 states: 'Enables users to define data transformations as tables instead of writing step-by-step jobs' and 'Uses declarative logic (SQL or Python) to describe what the data should look like.'
Which of the following is an advantage of DLT's automatic pipeline orchestration?,It compiles all Python queries into local Java classes.,"It automatically infers table execution order, schedules, and dependencies between tables.",It forces all data tables to be cached in in-memory RDDs.,It requires writing custom hook functions to connect data layers.,It prevents users from querying historic version snapshots.,B,"Slide 43 states DLT: 'Automatically handles execution order, scheduling, and dependencies between [tables]'. Slide 'Delta Tables vs. Delta Live Tables' also notes dependencies are 'Automatically inferred'."
How are the data layers organized under the standard Medallion Architecture used in DLT pipelines?,Raw -> Filtered -> Aggregated,"Bronze (raw ingested data) -> Silver (cleaned and validated) -> Gold (aggregated, business-ready)",Primary -> Secondary -> Presentation,Ingestion -> Transformation -> ML serving,Relational -> Semi-Structured -> Report-Ready,B,"Slide 47 ('Delta Live Tables & Medallion Architecture') outlines: 'Bronze -> Raw ingested data', 'Silver -> Cleaned and filtered data', 'Gold -> Aggregated, business-ready data'."
How are data quality constraints enforced inside a declarative DLT pipeline?,By checking schemas manually after every raw ingestion write.,"By using expectations (e.g., EXPECT value > 0) defined as built-in data quality constraints.",By raising try-catch execution exceptions inside Python scripts.,By executing manual SQL CHECK constraints in raw DDL queries.,By sending errant data to an external log queue.,B,"Slide 46 lists data quality enforcement features: 'Define rules using expectations (e.g., EXPECT value > 0)' as built-in constraints."
What is Apache Airflow in a modern data engineering ecosystem?,An in-memory storage format designed to accelerate Spark SQL.,"An open-source workflow orchestration platform used to programmatically define, schedule, and monitor data pipelines.",A real-time message stream used to transport telemetry data.,A containerization tool used to bundle application packages.,An experiment tracker used to log machine learning parameters.,B,"Slide 24 ('What is Apache Airflow?') defines it as: 'an open-source workflow orchestration platform used to programmatically define, schedule, and monitor data pipelines.'"
What does 'Acyclic' mean within Airflow’s Directed Acyclic Graph (DAG) workflow structure?,The workflow runs continuously on a scheduled loop.,"There are no loops or circular dependencies, meaning a task cannot loop back to a previously executed task.",Tasks in the pipeline are executed on separate cluster nodes.,The python script cannot contain standard dynamic typed variables.,A task can be executed multiple times inside the same run.,B,Slide 25 states: 'Acyclic -> no loops or circular dependencies.'
Which component of the Apache Airflow architecture decides when DAG workflow runs should be triggered based on time or events?,The Web UI,The Scheduler,The Executor/Workers,The Metadata Database,The Operator Hook,B,Slide 26 states: 'Airflow scheduler triggers DAG runs based on time or events' and 'Scheduler -> decides when to run workflows.'
"In Apache Airflow, what is the fundamental difference between an Operator and a Hook?","Operators define workflow schedules, while Hooks represent data tables.","Operators represent actual execution steps (tasks) in the pipeline, whereas Hooks are utility tools used to connect to external systems.","Operators are written in Bash, while Hooks must be written in Python.","Operators execute on the driver node, while Hooks execute on workers.","Operators manage error handling, while Hooks manage task retries.",B,Slide 30 ('Another Airflow Example') notes the important distinction: 'Operators = tasks in the pipeline / Hooks = utility for interacting with external systems.'
What Airflow mechanism is used to share small metadata or execution results (such as a trained model's accuracy metric) between tasks within a DAG?,Operator hooks,XCom (Task Communication),Scheduler context variables,Database checkpoints,Workers status indicators,B,Slide 29 under 'XCom (Task Communication)' states: 'context['ti'].xcom_push(...) stores results (accuracy). Enables passing data between tasks in the DAG.'
