question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
Which of the following operations is an example of a 'Narrow Transformation'?,groupBy(),orderBy(),join(),filter(),count(),D,Slide 'Narrow and Wide Transformations' states: 'Operations like filter() and contains() in the provided code snippet are narrow transformations...'
What characterizes a 'Wide Dependency' in Spark?,It can calculate output partitions from a single input partition without data exchange,It is evaluated eagerly and bypassing lazy execution plans,It requires Spark to perform a shuffle of data across executor partitions in the cluster,It is restricted to Java and Scala Datasets only,It prevents Spark from dividing jobs into multiple stages,C,"Slide 'Narrow and Wide Transformations' states: 'In wide transformations, like a count using groupBy(), Spark necessitates a shuffle of data across all executor partitions in the cluster...'"
Which group of operations represents 'Wide Transformations' in Spark?,filter() and contains(),select() and show(),read() and count(),groupBy() and orderBy(),withColumn() and select(),D,"Slide 'Narrow and Wide Transformations' states: 'These operations command Spark to execute wide transformations, involving the reading, combining, and disk writing of data from multiple partitions' such as groupBy() or orderBy()."
"What is the core, fundamental abstraction in Apache Spark?",DataFrame,Dataset,Resilient Distributed Dataset (RDD),SparkSession,Catalyst Optimizer,C,Slide 'Spark: What’s Underneath an RDD?' states: 'The Resilient Distributed Dataset (RDD) is the fundamental abstraction in Spark.'
What are the three key characteristics underneath an RDD?,"Schemas, rows, and naming conventions","Dependencies, partitions, and compute function","Driver, executor, and cluster managers","Catalyst optimizers, SQL engines, and datasets","Python VMs, JVMs, and APIs",B,Slide 'Spark: What’s Underneath an RDD?' states: 'Three Key Characteristics of RDDs: Dependencies... Partitions... Compute Function...'
Why is Spark's ability to optimize computations and expressions limited when using raw RDDs?,Because RDDs are completely mutable and do not support lineage,Because Spark sees the compute function and Iterator[T] as opaque objects and cannot inspect the internal computation,Because RDDs can only be executed on a single core of Spark executors,Because RDDs are restricted to R language structures,Because RDDs are structured and have rigid schemas,B,"Slide 'Spark: What’s Underneath an RDD?' states that the compute function and Iterator[T] data types are opaque to Spark, limiting its understanding and ability to inspect the computation or expressions to optimize them."
What is the relationship between DataFrames and RDDs in Spark?,They are exactly the same concept and low-level API,"DataFrames are built on top of RDDs, compiles down to RDD operations under the hood, but provide a structured high-level view","DataFrames are unstructured collections, whereas RDDs have rigid schemas",RDDs are built on top of DataFrames and use the Catalyst optimizer,DataFrames cannot compile down to RDD operations,B,Slide 'Is a Dataframe an RDD?' states: 'Not exactly. Dataframes are built on top of RDDs... compiled down to RDD operations. But...you don’t interact with the raw RDD directly.'
Which of the following is an advantage of structured APIs (DataFrames) over raw RDDs?,They bypass lazy evaluation and execute eagerly,"They are unstructured, offering complete type freedom without schemas",They are optimized automatically by Spark's Catalyst optimizer and offer easier user interaction,They run directly on the driver without using executor partitions,They do not compile down to RDD operations,C,"Slide 'RDD vs. Dataframes' states that DataFrames are high-level APIs, structured (with schema), use the Catalyst optimizer, and offer more optimization + easier user interaction."
"In Spark 2.0, which APIs were unified as 'Structured APIs'?",Spark Core and RDD APIs,Python and R APIs,DataFrame and Dataset APIs,Spark Streaming and MLlib APIs,Spark SQL and GraphX APIs,C,"Slide 'The Dataset API' states: 'In Spark 2.0, the DataFrame and Dataset APIs were unified as Structured APIs, simplifying learning by offering a single set of interfaces.'"
"Why are Spark's typed Dataset APIs relevant ONLY in Java and Scala, but NOT in Python and R?",Because Python and R do not support JVM environments at all,"Because Python and R are dynamically typed languages, whereas Scala and Java enforce compile-time type safety",Because Java and Scala do not support DataFrames,"Because Python and R are statically typed, bypassing the need for Datasets",Because Python and R only operate with raw RDDs,B,"Slide 'Typed Objects, Untyped Objects, and Generic Rows' states: 'Datasets are relevant only in Java and Scala, while DataFrames are used in Python and R. This distinction stems from the fact that Python and R are dynamically typed, whereas Scala and Java enforce compile-time type safety.'"
What is a key difference between untyped APIs (DataFrames) and typed APIs (Datasets in Scala) regarding error catching?,"DataFrames catch errors at compile time, whereas Datasets catch them at runtime","DataFrames reference columns by name and catch errors at runtime, whereas Datasets use strongly typed objects and catch errors at compile time","DataFrames do not catch errors, while Datasets catch all errors",Datasets are untyped and less forgiving than DataFrames,There is no difference in how or when they catch errors,B,Slide 'The Dataset API' states: 'Untyped APIs (DataFrames) reference columns by name and catch errors at runtime. Typed APIs (Datasets in Scala) use strongly typed objects and catch errors at compile time.'
Why is selectively renaming columns with spaces in original names (e.g. 'Incident Number') important when saving to Parquet files?,Parquet is an interpreted format that cannot read strings,Spaces are prohibited in column names for formats like Parquet,Catalyst optimizer automatically drops columns with spaces,Spaces cause the RDD serialization to compress excessively,"Spaces are dynamically typed, causing compile-time errors in Python",B,"Slide 'Renaming, adding, and dropping columns' states: 'original column names with spaces (e.g., ""Incident Number"") can be problematic, especially for formats like Parquet that prohibit spaces.'"
"According to Spark's basic data types, what are the Python data types assigned to ByteType, ShortType, IntegerType, and LongType respectively?","float, float, float, float","int, int, int, int","str, str, str, str","bool, bool, bool, bool","byte, short, int, long",B,"According to Slide 'Spark's Basic Data Types - Python', the Python types assigned to ByteType, ShortType, IntegerType, and LongType are all 'int'."
