"question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"Which SQL standard and command subset is supported by Spark SQL's programmatic interface?","ANSI SQL:2003 commands and HiveQL","Transact-SQL (T-SQL) extensions exclusively","PL/SQL procedural packages only","PostgreSQL custom dialects exclusively","Spark SQL is non-declarative and does not support standard ANSI SQL queries.","A","Slide 74 states that Spark SQL: 'Offers a programmatic interface for interacting with structured data, supports ANSI SQL:2003 commands, HiveQL, and includes an interactive shell for SQL queries.'"
"Which Spark version introduced the SparkSession as the unified entry point for leveraging Spark's Structured APIs?","Spark 1.0","Spark 1.6","Spark 2.0","Spark 3.0","Spark 3.5","C","Slide 77 states: 'SparkSession Introduction: Introduced in Spark 2.0 as a unified entry point for leveraging Spark's Structured APIs.'"
"In a non-interactive, standalone Spark application, how is the SparkSession object handled?","It is automatically instantiated and available as 'spark' by default.","It must be explicitly created by importing the SparkSession class and building an instance.","It cannot be used; standalone apps must use SparkContext instead.","It is managed entirely by the cluster manager and cannot be configured programmatically.","It must be instantiated through a Hive Metastore server connection call.","B","Slide 'Spark Application and SparkSession' (referencing Slide 25/77 context) states that SparkSession is automatically instantiated in an interactive Spark shell, whereas in a Spark application, you must create the SparkSession object yourself."
"What is the return type of SQL queries executed via the sql() method on a SparkSession instance?","A dynamic Python list","An unstructured RDD","A structured DataFrame","A compiled SQL text string","An iterator over JDBC result sets","C","Slide 77 states: 'SQL Queries: Execute SQL queries using the sql() method on the SparkSession instance... DataFrames: Queries return DataFrames, allowing for further operations...'"
"What table-related information is stored in the central metastore used by Apache Spark?","Actual raw data files and binary directories","Only the security permissions and access logs","Metadata such as schema, table name, column names, partitions, and physical data location","JVM bytecode compiled during query execution","Physical execution plans and DAG history metrics","C","Slide 72 states: 'Table Metadata in Spark: Each table in Spark is associated with metadata such as schema, table name, column names, partitions, and physical data location. Central Metastore: All table metadata is stored in a central metastore...'"
"What central metastore does Apache Spark utilize by default?","AWS Glue Catalog","Apache Hive metastore","Google Cloud Dataproc Metastore","Snowflake Secure Metastore","PostgreSQL System Catalog","B","Slide 72 states: 'Central Metastore: All table metadata is stored in a central metastore, with Spark using the Apache Hive metastore by default.'"
"Where is the default location for Spark's default central Hive metastore database files?","/var/log/spark/metastore","/tmp/spark-warehouse","/user/hive/warehouse","/etc/hive/conf","/root/spark/hive-warehouse","C","Slide 72 states: 'Default Metastore Location: The default location for the Hive metastore is at /user/hive/warehouse.'"
"Which Spark configuration parameter is adjusted to customize the default local or distributed storage warehouse path?","spark.sql.metastore.path","spark.sql.warehouse.dir","spark.hive.metastore.warehouse.dir","spark.sql.default.dir","spark.sql.catalog.warehouse","B","Slide 72/73 states: 'Users can change the default metastore location by adjusting the spark.sql.warehouse.dir in Spark's configuration to a new local or distributed storage path.'"
"What is the key characteristic of a 'Managed Table' in Apache Spark?","Spark manages only the metadata, while the data is stored in external third-party systems.","Spark manages both the metadata and the actual raw physical data.","The table metadata is handled by an external database administrator while Spark only reads raw files.","Managed tables are stored exclusively on HDFS and cannot reside on S3 or Azure Blob.","Managed tables are read-only and do not allow any write or update operations.","B","Slide 74 states: 'Managed Tables: For managed tables, Spark manages both the metadata and the actual data, which can reside on local filesystems, HDFS, or cloud storage...'"
"What is the key characteristic of an 'Unmanaged Table' in Apache Spark?","Spark manages both metadata and physical data, but in an unencrypted format.","Spark manages neither metadata nor data, functioning only as a passthrough proxy.","Spark manages the metadata, but the actual data is stored and managed externally.","Unmanaged tables are restricted to Cassandra and cannot exist on cloud object storage.","Unmanaged tables are temporary and automatically destroyed when the SparkSession closes.","C","Slide 74 states: 'In contrast, unmanaged tables have their metadata managed by Spark, but the actual data is stored and managed externally (e.g., in Cassandra).'"
"What is the behavior of dropping a 'Managed Table' versus an 'Unmanaged Table' using a standard SQL DROP TABLE command?","Dropping a managed table deletes only the data; dropping an unmanaged table deletes metadata and data.","Dropping a managed table removes both metadata and data; dropping an unmanaged table removes only metadata.","Both commands perform identically, leaving the physical data files intact.","Dropping an unmanaged table deletes the actual data; dropping a managed table is blocked for security.","Managed tables cannot be dropped; only unmanaged tables can be deleted via SQL.","B","Slide 74 states: 'Dropping a managed table via SQL (DROP TABLE table_name) removes both its metadata and data, whereas the same command for an unmanaged table only removes the metadata.'"
"How do you create a new custom SQL database namespace and switch Spark SQL context to it?","spark.sql('USE DATABASE my_db')","spark.sql('CREATE DATABASE my_db') followed by spark.sql('USE my_db')","spark.sql('SET DATABASE my_db')","spark.read.database('my_db')","spark.sql('SWITCH DATABASE my_db')","B","Slide 76/77 shows the SQL commands: 'spark.sql(""CREATE DATABASE learn_spark_db"")' and 'spark.sql(""USE learn_spark_db"")'."
"Under which database namespace does Spark create SQL tables if no custom database is explicitly specified?","system","master","default","spark_catalog","public","C","Slide 76/77 states: 'By default, Spark creates tables under the default database.'"
"Which DataFrameWriter method is used programmatically to save a DataFrame as a managed table in the Hive metastore?","saveAsTable()","save()","insertInto()","writeTable()","persistTable()","A","Slide 79 displays the command: 'flights_df.write.saveAsTable(""managed_us_delay_flights_tbl"")' which creates a managed table."
"How is an unmanaged table created in Spark SQL using a standard ANSI SQL DDL statement?","By using the standard CREATE EXTERNAL TABLE syntax.","By using CREATE TABLE and specifying the format USING and OPTIONS with a PATH string.","By omitting the column types during creation.","SQL statements cannot create unmanaged tables; they must be created via Python/Scala DataFrame APIs.","By executing a standard SQL MERGE command targeting S3.","B","Slide 83 shows SQL syntax: 'CREATE TABLE us_delay_flights_tbl(...) USING csv OPTIONS (PATH 'path')' which creates an unmanaged table."
"How do you specify the external storage location for an unmanaged table programmatically when using the DataFrame API?","By setting the spark.sql.warehouse.dir property to the external path.","By supplying the '.option(""path"", ""/external/path"")' and saving as a table.","By physically copying the files to '/user/hive/warehouse'.","By converting the DataFrame to a list and writing it using Python file handles.","By passing the path as the first argument directly into 'saveAsTable()'.","B","Slide 83 displays the DataFrame API example: 'flights_df.write.option(""path"", ""/tmp/data/us_flights_delay"").saveAsTable(""us_delay_flights_tbl"")'."
"When defining a schema in Spark, what is the key benefit of using a Data Definition Language (DDL) string?","It enables compile-time type safety in dynamic environments like Python.","It is much simpler and more concise than programmatic StructType/StructField object lists.","It forces Spark to write data to disk as sequential flat files.","It automatically converts nested JSON fields to standard flat integers.","It disables lazy evaluation and forces immediate job execution.","B","Slide 'Two ways to define a schema' (Slide 34) states: 'Defining the same schema using DDL is much simpler.'"
"Which of the following is a valid Scala/Python DDL schema string for columns author, title, and pages?","StructType(StructField('author', StringType()))","schema = author: VARCHAR, title: VARCHAR, pages: INTEGER","""author STRING, title STRING, pages INT""","['author', 'title', 'pages']","author=str, title=str, pages=int","C","Slide 34 shows: 'val schema = ""author STRING, title STRING, pages INT""'."
"What interface is essential for reading data from external files into a Spark DataFrame?","DataFrameWriter","SparkSessionCatalog","DataFrameReader","SQLThriftServer","ExternalCatalogClient","C","Slide 11/84 states: 'DataFrameReader Overview: The DataFrameReader is essential for reading data...'"
"Why is there no need to supply a schema when reading Parquet files using DataFrameReader?","Parquet files are unstructured and do not have any schema.","Parquet format saves the DataFrame's schema as part of its metadata, allowing Spark to preserve it.","Spark SQL automatically converts all Parquet files to a schema of default text strings.","DataFrameReader queries the Hive Metastore to extract schema before opening files.","Spark guesses type layouts at runtime by scanning the first 1,000 files.","B","Slide 23/26/79 states: 'Unless you are reading from a streaming data source there's no need to supply the schema, because Parquet saves it as part of its metadata' and 'preserves the DataFrame's schema...'"
"How are JSON files represented in Spark based on representational formats discussed in Lecture 9?","Only as recursive XML schemas","Single-line mode (one JSON object per line) and multiline mode","Strict binary compressed raw blobs","Comma-separated text files with header rows","Hierarchical tree schemas with separate directory indexes","B","Slide 27 states: 'JSON supports two formats in Spark: single-line mode, where each line represents a single JSON object, and multiline mode...'"
"What is the historical origin of Spark SQL?","It was designed from scratch as a replacement for PostgreSQL.","It originated from Shark, which was initially built on the Hive codebase.","It was adapted directly from the Apache Cassandra Query Language codebase.","It was originally a proprietary optimizer developed by Databricks called Dremel.","It was converted from the Hadoop MapReduce core system.","B","Slide 22 states: 'Originating from Shark, Spark SQL has evolved... Initially built on the Hive codebase as Shark, Spark SQL evolved...'"
"Which tool is a CLI utility located in the $SPARK_HOME folder used for executing SQL queries directly against Spark?","Beeline CLI","Spark SQL shell","STS Connector","Thrift CLI","SparkCatalogShell","B","Slide 23 states: 'The Spark SQL shell is a convenient CLI tool located in the $SPARK_HOME folder, ideal for executing SQL queries directly.'"
"Which of the following is true about the Spark SQL shell's connectivity behavior?","It connects directly to the Spark Thrift Server (STS) for JDBC/ODBC queries.","It interacts with the Hive metastore service in local mode but does not connect to the STS.","It can only be used on AWS cloud clusters.","It bypasses local security configurations completely.","It communicates with BI reporting tools using HTTP REST protocols.","B","Slide 23 explicitly states: 'It interacts with the Hive metastore service in local mode but does not connect to the Spark Thrift Server (STS) for JDBC/ODBC queries.'"
"How do modern organizations manage large volumes of data to support business intelligence and AI/ML workloads?","By writing all raw files directly to standard local server hard drives without replication.","Using two primary paradigms: Data Lakes (raw/flexible storage) and Data Warehouses (highly structured analytical queries).","By converting all relational databases into flat text CSV files exclusively.","By storing structured data in Excel sheets and unstructured data on tape drives.","Exclusively using relational transactional databases like MySQL.","B","Slide 85 states: 'Two primary architectural paradigms dominate modern data systems: Data Lakes - flexible storage for raw and semi-structured data; Data Warehouses - optimized systems for structured analytical queries.'"
"What architectural paradigm represents the combination of Data Lakes and Data Warehouses?","Hyper-database clusters","Active-Active Relational Arrays","Lakehouse architecture","Federated Object Stores","Serverless Database grids","C","Slide 85 states: 'Recent innovations combine these paradigms into lakehouse architectures.'"
"Which open-source storage framework brings ACID transactional capabilities and schema management to Data Lakes?","Apache Spark Core","Delta Lake","Snowflake Object Format","Dremel Engine","AWS S3 API","B","Slide 90 states: 'Delta Lake is a storage layer that adds warehouse capabilities to data lakes. Key features: ACID transactions, Schema enforcement, Time travel...'"
"On which file format is Delta Lake built to ensure compatibility and reliability?","Avro","JSON","Apache Parquet","HDF5","Protocol Buffers","C","Slide 90 states under 'Built on': 'Apache Parquet'."
"How do you transition an existing Spark data pipeline from using Parquet format to Delta Lake?","You must rewrite all code in Java and deploy it on specialized clusters.","Simply switch DataFrame read and write formats from format('parquet') to format('delta').","You must purchase a commercial enterprise license from AWS.","Run a physical translation script that converts files to dynamic XML schemas.","Re-import all tables as unmanaged tables inside a Hive warehouse.","B","Slide 34/Delta Lake Load states: 'Transitioning existing data lakes built with Apache Spark and structured data formats like Parquet to Delta Lake is straightforward, simply switch DataFrame read and write operations from format(""parquet"") to format(""delta"").'"
"What are Delta Tables built on Delta Lake?","Virtual tabular configurations that exist only in Spark executor memory.","Structured tables that add ACID transactions, versioning, and schema management to data lakes.","Unstructured binary file directories that bypass Parquet metadata rules.","A SQL database engine that replaces the Hive Metastore entirely.","Temporary relational views registered in the master driver node.","B","Slide 'Delta Tables' (referencing Slide 18/Delta Lake architecture) states: 'Delta Tables are structured tables built on Delta Lake that add ACID transactions, versioning, and schema management to data stored in a data lake.'"
"In Delta Lake transaction mechanisms, what files constitute the table storage?","Only raw unstructured log files.","A combination of Parquet data files and a transaction log directory with metadata.","A single giant compiled binary database file.","CSV data blocks and relational index pointers.","JSON data streams linked to Hive unmanaged warehouses.","B","The 'Contents of a Delta table' diagram (referencing Slide 18) clearly shows the table contains Parquet files (Data stored in Parquet files) alongside a '_delta_log' directory (Transaction log with metadata)."
"Which Delta Lake feature allows a user to query historical snapshots of a table to analyze data at specific points in time?","ACID compliance","Schema enforcement","Time travel","Unified batching","Metadata pruning","C","Slide 90 and 'Querying Previous Snapshots' slides state that Delta Lake features 'time travel capabilities for querying specific table snapshots by ID or timestamp and rolling back to previous versions'."
"Which DataFrameReader options are used to execute a Delta Lake time travel query in Python or Scala?","historyVersion and historyTimestamp","versionAsOf and timestampAsOf","snapshotByVersion and snapshotByDate","timeTravelVersion and timeTravelDate","rollbackAsOf and rollbackTimestamp","B","The 'Querying Previous Snapshots of a Table with Time Travel' slide displays option configurations: '.option(""timestampAsOf"", ""2020-01-01"")' and '.option(""versionAsOf"", ""4"")'."
"Which Spark version added direct support for SQL DML operations like UPDATE, DELETE, and MERGE?","Spark 1.6","Spark 2.2","Spark 2.4","Spark 3.0","Spark 3.4","D","The 'Updating data to fix errors' slide states: 'In Spark 3.0, which added direct support for DML SQL operations like UPDATE, DELETE, and MERGE...'"
"What is Delta Live Tables (DLT) in Databricks?","A high-frequency streaming server designed for instant log visualization.","A managed data pipeline framework built on top of Delta Lake that automates execution and data quality.","A relational database schema engine designed to replace PostgreSQL.","An open-source visualization tool similar to Tableau.","A serverless compute cluster optimized for MLlib pipelines.","B","The 'Delta Live Tables (DLTs)' slide defines DLTs as: 'Delta Live Tables is a managed framework for building and orchestrating reliable data pipelines on Delta Lake with automated execution and data quality checks' and Slide 43 states it is built on top of Delta Lake."
"What paradigm does Delta Live Tables (DLT) use to define data transformations?","Eager step-by-step procedural code in Bash","Imperative low-level RDD loop structures","Declarative logic (SQL or Python) describing what the data should look like","High-latency compiled MapReduce scripts","Interactive manual UI drag-and-drop actions","C","Slide 43 states that DLT: 'Enables users to define data transformations as tables instead of writing step-by-step jobs' and 'Uses declarative logic (SQL or Python) to describe what the data should look like.'"
"What is the primary architectural characteristic of Snowflake?","A shared-nothing serverless hardware cluster optimized for dynamic dynamic web pages.","A cloud-native data warehouse designed around a complete separation of compute and storage.","An on-premises relational framework built entirely on the PostgreSQL codebase.","A specialized transactional engine built for sub-millisecond graph traversals.","A strict database-managed physical cluster residing only in AWS.","B","Slide 94 states under Snowflake Overview: 'Separation of storage and compute' and Slide 103 states: 'Separation of compute and storage; Multi-cloud platform; Scales using virtual warehouses'."
"How does Snowflake scale compute resources independently as described in Lecture 9?","By increasing the bandwidth of the network cards","By using virtual warehouses that can scale independently","By adding more physical storage drives to the centralized mainframe","By converting structured tables to memory-mapped RDD arrays","Through manual hardware upgrades on physical server racks","B","Slide 103 states under Snowflake: 'Scales using virtual warehouses' and Slide 108 lists Snowflake compute model: 'Virtual warehouses'."
