question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"In Homework 11, how did the configurations handle unanswerable questions, and what did it cost to implement?","Only Stack B abstained correctly, costing significant custom fine-tuning.","Every configuration abstained correctly due to a single instruction to reply 'NOT IN CONTEXT', showing that refusing absent evidence is nearly free.","BM25 failed to abstain and hallucinated revenue figures, while dense succeeded.",The configurations required pre-filtered metadata checks to refuse answers.,The models hallucinated answers because hidden reasoning was disabled.,B,"Section 5 notes that every configuration, even BM25, declined to invent answers and abstained correctly due to a single instruction to reply NOT IN CONTEXT, making it nearly free across three model families."
"According to Lecture 11, how does control over the pipeline shift across the adaptation spectrum from decoding control to AI agents?","Workflows give full control to the model, while agents keep control in human-defined code.","In prompt engineering, the human writes no control flow; in workflows, the model writes all of it.","To the left of RAG, a human writes every control decision; at the far right (Agents), the model takes the wheel and decides actions based on observations.",There is no difference; 'workflows' and 'agents' are synonymous terms.,Fine-tuning sits at the far right of the adaptation spectrum with full human control.,C,"Lecture 11 (slide 'The Adaptation Spectrum, Completed') explains that on the left of RAG/workflows, a human writes every control decision in advance. At the far right (agents), the model takes the wheel, writes control decisions, and chooses its own sequence of steps."
How does Lecture 11 define the difference between Workflows and Agents?,"Workflows run offline in batches, while Agents only run online in real-time.",Workflows orchestrate LLMs through predefined programmatic code paths; Agents hand control to the model's dynamic loop to decide steps on the fly.,"Workflows require full-parameter fine-tuning, while Agents rely on prompts.","Workflows use external APIs, while Agents run strictly on local GPUs.","Workflows have high token latency, while Agents have zero added latency.",B,"Lecture 11 slide 'Two Kinds of Agentic System' defines Workflows as LLMs and tools orchestrated through predefined code paths where a human writes control flow in advance, whereas Agents remove this scaffolding and let the model take the wheel."
"What is the Lecture 11 'decision rule' for choosing between a workflow, an agent, or a single augmented call?","Always default to an agent for task complexity, as it is cheaper than a workflow.",Use a workflow for well-defined tasks with known steps; use an agent for open-ended tasks where steps are unknowable; otherwise start with a single augmented call and measure.,"Use workflows strictly on local CPUs, and agents strictly on multi-GPU server clusters.","Use a single augmented call for multi-step reasoning, and workflows for short lookups.",Always use DPO-aligned models for workflows and SFT-aligned models for agents.,B,"Slide 'Two Kinds of Agentic System' provides the decision rule: well-defined tasks with known steps go to workflows for predictability; open-ended tasks with unknowable steps go to agents for flexibility; if neither applies, use a single augmented call and measure first."
Every pattern in Lecture 11 is composed of a single unit: an Augmented LLM. What three capabilities are given to this model alongside generation?,"Sampling, prompt-tuning, and quantization.","Prefill, decoding, and continuous batching.","Retrieval, Tools, and Memory.","PPO, DPO, and GRPO alignment.","Inverted Index, IVF, and HNSW graph traversals.",C,"Slide 'The Building Block: The Augmented LLM' shows that the basic unit is a model given Retrieval (to search), Tools (functions to call), and Memory (to retain state across steps)."
"In the Prompt Chaining workflow pattern, what is the role of 'gates'?",They dynamically route inputs to different specialized LLM instances based on classification.,They are programmatic checks that sit between steps to validate output and halt the chain if a step fails.,They represent physical hardware boundaries between local and API models.,They are learnable parameters inside layer normalization wrappers.,They compress the KV cache by clearing past tokens.,B,"Under 'Pattern 1: Prompt Chaining,' the slides state that prompt chaining decomposes a task into sequential steps, and programmatic checks called gates can sit between steps and stop the chain when a step fails."
Which of the following is a classic example of the 'Routing' workflow pattern?,"Generating a marketing outline, verifying its length, and then drafting the full article text in a sequence.",Directing General queries to cheap models and hard Technical queries to a highly capable model to cut costs without lowering quality.,Running the same task 40 times at a high temperature and taking a majority vote on the output.,A model dynamically creating and modifying a list of files during a software engineering session.,Running safety screening and query generation in parallel to reduce processing time.,B,"Lecture 11 states that Routing classifies an input and directs it to a specialized branch (such as technical support vs refunds), or sends easy questions to cheap models and hard ones to capable ones."
How does Lecture 11 distinguish between the two variations of the Parallelization pattern: 'Sectioning' and 'Voting'?,Sectioning splits a task into independent subtasks run in parallel; Voting runs the same task several times for diverse outputs and combines them.,"Sectioning runs only on CPU, whereas Voting requires a GPU cluster.","Sectioning is a sequential chain of steps, whereas Voting is an iterative feedback loop.","Sectioning uses a single master model, whereas Voting uses an orchestrator with independent worker agents.",There is no difference; both are used exclusively for safety guardrails.,A,"As described under 'Pattern 3: Parallelization,' Sectioning breaks a task into independent subtasks, while Voting runs the same task several times for diverse outputs, then combines them by majority or threshold."
What is the key contrast between the Orchestrator-Workers pattern and standard Parallelization?,Orchestrator-Workers runs faster because it bypasses the aggregator step.,"Parallelization has dynamic runtime paths, while Orchestrator-Workers uses hardcoded steps.","Under Orchestrator-Workers, the subtasks are not predefined at design-time; the central model determines them on the fly based on the specific input.",Orchestrator-Workers is strictly used for offline code generation.,"Parallelization requires multiple resident models in GPU memory, whereas Orchestrator-Workers runs on a single thread.",C,"As outlined under 'Pattern 4: Orchestrator-Workers,' the key contrast is that the subtasks are not predefined. The orchestrator determines them from the specific input, so you cannot draw the branches in advance."
Under what two conditions is the Evaluator-Optimizer loop highly effective?,"When GPU memory is constrained, and sequence lengths are short.","When clear evaluation criteria exist, and responses measurably improve when feedback is articulated.","When the base model is quantized, and temperature is set to exactly 0.0.","When API keys are hidden, and stdio is used for local subprocesses.",When the task requires single-turn absolute scores.,B,Slide 'Pattern 5: Evaluator-Optimizer' states that the pattern is used when clear evaluation criteria exist and the response measurably improves when feedback is articulated.
"Why is 'Structured Output' (e.g., conforming to a fixed JSON schema) considered the single most important lever for agent reliability?",It drastically reduces the sequence length and lowers token billing.,It eliminates the need for any prefill operations on the GPU.,It turns unpredictable free-text prose into structured data that programmatic code can reliably branch on.,It bypasses the softmax layer to emit deterministic outputs.,It allows the agent to run completely offline without an MCP server.,C,"Under 'Structured Output: The Key to Reliable Agents,' the slides explain that free text is unpredictable to parse. Constraining outputs to a fixed schema turns it into data your code can act on (routing, plan generation, next agent)."
"What is the Model Context Protocol (MCP), and why was it introduced in late 2024?",A custom alignment algorithm that replaced DPO for next-token prediction.,A standard protocol to compress the KV cache of local models on Apple Silicon.,"An open standard that standardizes how an agent connects to tools, prompts, and data sources, preventing N x M custom integrations.",API serving framework that competes directly with SGLang and vLLM.,A physical hardware interconnect that speeds up GPU-to-GPU communications.,C,"Slide 'MCP: Model Context Protocol' states that MCP standardizes how an agent connects to tools and data. Write one server, use it everywhere, replacing N x M custom integrations with N + M."
What are the three architectural layers defined in the Model Context Protocol (MCP)?,"Query, Key, and Value.","Prefill, Decode, and Batch.","Server, Client, and Host.","Policy, Reference, and Reward.","Local, API, and Edge.",C,"Under 'MCP: Model Context Protocol,' the three layers are the Server (exposes tools, resources, prompts), the Client (speaks the protocol), and the Host (the user-facing app like Claude Desktop, Cursor, or VS Code)."
Why is MCP considered more powerful than standard LLM function calling?,MCP servers can run on mobile browsers with zero latency.,"MCP servers can pause execution to request structured input from users (elicitation), sample completions from the host, and resume streams.",MCP completely eliminates the decode phase of text generation.,MCP automatically translates English instructions to Python code.,MCP quantizes weights to 4-bit on the fly.,B,"As stated on slide 'MCP: Model Context Protocol,' MCP is more than function calling because servers can pause to request structured input from the user (elicitation), ask the host's model for a completion (sampling), and resume."
Why does evaluating a tool-using agent require evaluating its 'trajectory' rather than just its final message?,Tool calls always add quadratic latency to the serving model.,"The agent's final message is often a simple confirmation (e.g., 'The calculation is complete'), while the actual answer or logical error occurred multiple steps back.",Trajectories are the only way to measure a model's perplexity.,Evaluating trajectories prevents the model from exceeding its context window.,Trajectories are cheaper to compute than final-turn answers.,B,Slide 'You Evaluate a Trajectory' and 'Two Ways to Score' point out that agent outputs consist of a sequence of reasoning steps and tool actions. Naive last-message grading fails because the answer may reside multiple turns back.
What is the primary purpose of 'Process Metrics' when evaluating an agent's trajectory?,To count how many seconds the prefill phase took.,To verify that the output perfectly matches a reference text.,"To inspect tool messages and check if the agent selected the right tools in the correct order, catching trajectories that got lucky but used flawed logic.",To evaluate the accuracy of the gemini-3.5-flash-lite judge.,To measure the standard deviation of rewards within a GRPO group.,C,"Slide 'Two Ways to Score' notes that process metrics inspect tool messages to ensure the right actions were taken, catching faulty reasoning paths that happened to reach the correct answer by luck."
"According to Lecture 11, what is the cost of autonomy when comparing a direct model call to a tool-heavy multi-agent team?",Multi-agent teams are always 43% cheaper because they parallelize work.,Multi-agent configurations can multiply token costs by up to 43x for minor or no performance gains on simple tasks.,Autonomy reduces the memory footprint of the KV cache by a factor of 43.,There is no difference; token billing is identical regardless of autonomy.,Direct model calls are 43 times more expensive due to prefill bottlenecks.,B,"Slide 'The Cost of Autonomy' highlights that while direct model calls cost 1x, a tool-heavy multi-agent team on simple tasks can cost up to 43x more while achieving lower performance, demonstrating that autonomy is not free."
Text generation splits into Prefill and Decode phases. How do their hardware profiles compare?,Prefill is memory-bandwidth bound; Decode is compute-bound.,Both are compute-bound and scale linearly with model size.,Prefill processes tokens in parallel and is compute-bound; Decode emits one token at a time and is memory-bandwidth bound (GPU waits on memory).,Both are memory-bandwidth bound due to KV cache quantization.,"Prefill runs strictly on local CPUs, while Decode runs on high-speed TPUs.",C,"Slide 'Serving Has Two Phases' notes that Prefill processes all prompt tokens in one parallel pass (compute-bound), while Decode emits one token per pass, reloading all weights and cache each step (memory-bandwidth bound)."
"On an A100 GPU, what is the approximate per-token performance gap between the Prefill and Decode phases?",Decode is 100 times faster than Prefill because it uses fewer parameters.,"Processing 10,000 prompt tokens in Prefill takes roughly the same time as generating 100 output tokens in Decode (a 100-fold gap).",Prefill is 3-5 times more expensive because it bills for input tokens.,There is no gap; both phases process tokens at exactly 50 tokens per second.,The gap is entirely resolved by switching from vLLM to TensorRT-LLM.,B,"Under 'The number that matters' on slide 'Serving Has Two Phases,' processing 10,000 prompt tokens in prefill takes roughly the same time as generating 100 output tokens in decode on an A100, which is why APIs charge 3-5x more for outputs."
"What is stored in the KV Cache during text serving, and why does it represent a major system bottleneck?","It stores the model's low-rank adapter weights, which must be swapped every step.","It stores key and value vectors per layer per head, and reading this entire cache at every decode step limits concurrency.",It stores a list of standard SQL filters used in metadata pre-filtering.,It stores the model's vocabulary matrix to avoid dequantization latency.,It stores the user's historical prompts to allow offline semantic caching.,B,"Under 'The KV Cache Is the Bottleneck' on the slides, each token stores key and value vectors. The decode phase reads this entire cache at every step, making its size the limiting factor for concurrent user capacity."
How does 'Continuous Batching' improve serving throughput compared to 'Static Batching'?,It compiles models to NVIDIA-specific libraries to reduce latency.,It groups requests of identical sequence lengths to minimize padding.,"It re-checks after every decode step, evicting finished sequences and admitting waiting ones immediately, yielding 2x to 5x throughput.",It runs the prefill phase sequentially across multiple local nodes.,It quantizes the KV cache to 1-bit representations.,C,"Slide 'Continuous Batching' notes that continuous batching (iteration-level scheduling) rechecks after every step to evict finished and admit waiting sequences immediately, yielding 2x to 5x higher throughput."
What is the primary difference between Weight-only quantization and Weight-and-activation quantization?,Weight-only quantization is only for local storage; Weight-and-activation is for API serving.,Weight-only fits large models on fewer GPUs; Weight-and-activation speeds up both phases on hardware with fast integer math.,Weight-only degrades model quality by 50%; Weight-and-activation has zero quality loss.,Weight-only runs strictly in FP32; Weight-and-activation runs in FP16.,There is no difference; they are different terms for QLoRA.,B,"Slide 'Choosing Quantization' states that Weight-only is picked when the goal is fitting a model on fewer GPUs, while Weight-and-activation is used to speed up both prefill and decode phases on hardware with fast integer math."
Past what volume threshold does a self-hosted quantized open-weight model typically beat an API on serving cost?,"10,000 tokens per month.","100,000 tokens per week.",Roughly one million tokens per day on one model.,Ten million tokens per hour.,There is no threshold; API is always cheaper at scale.,C,"Slide 'API versus Self-Host' indicates that past roughly one million tokens per day on one model, a self-hosted quantized open-weight model usually beats the API on cost."
What three types of caching form the 'ladder of increasing generality' to help spend fewer tokens?,"Local, Hosted, and API caching.","Exact-match, prefix caching, and semantic caching.","CPU, GPU, and RAM caching.","Pre-filtering, Post-filtering, and In-index caching.","Weight, Activation, and KV cache quantization.",B,"Slide 'Spending Fewer Tokens' defines the caching ladder as: exact-match, prefix caching (a shared system prompt computed once), and semantic caching (match by embedding similarity)."
"According to the serving framework comparison in Lecture 11, when should SGLang be chosen?",When you are on NVIDIA GPUs and want the lowest raw latency via model-specific compilation.,When you live entirely in the Hugging Face stack and want native quantization.,"When you need structured or constrained generation (JSON, grammar), which is common in agent systems.",When you need a lightweight local-dev library with no serving persistence.,When you are scaling to billions of vectors using clustered pgvector.,C,"Under 'The Serving Ecosystem' table, SGLang is selected when you need structured or constrained generation (JSON, grammar), which is common in agentic applications."
Figure 2 in Homework 11 plots gold-page coverage by retrieval depth. What does it reveal about why Hybrid produced the best answers?,"Hybrid was the best configuration at k=1, establishing an unbeatable baseline.","Hybrid was the worst configuration at k=1 but crossed to become the best at k=10, delivering a gold page for every answerable question.","Hybrid completely avoided unanswerable questions, saving generated tokens.",The cross-encoder reranker successfully expanded the candidate pool beyond k=10.,"BM25 had the best coverage at k=10, which boosted Hybrid.",B,"As shown in Figure 2 and Section 2 of HW11, Hybrid starts low at k=1 but crosses to reach 100% gold-page coverage (at least one gold page) at depth k=10, allowing the generator to extract the answer."
How does prompt chaining differ from routing in terms of when control flow is determined?,Prompt chaining determines control flow dynamically at runtime; routing determines it at compile-time.,"In prompt chaining, control flow is fixed sequentially at design-time; in routing, control flow branches based on a classifier's decision at runtime.",Prompt chaining has no control flow; routing is entirely controlled by the model loop.,Prompt chaining is strictly for agents; routing is strictly for pipelines.,"Chaining runs steps in parallel, while routing runs them strictly in series.",B,"Slide 'The Five Patterns at a Glance' shows that prompt chaining follows fixed sequential steps with predefined gates, while routing classifies inputs at runtime to specialize the execution branch."
"If a team's primary constraint is achieving the absolute lowest serving latency on an NVIDIA GPU cluster and they accept compiling their models, which serving framework should they select?",vLLM,SGLang,TGI,TensorRT-LLM,pgvector,D,"The framework comparison table on slide 'The Serving Ecosystem' states that TensorRT-LLM is the choice when you are on NVIDIA, want the lowest latency, and accept model-specific compilation."
"In the Homework 11 evaluation study, what was the impact of moving from the local stack (Dense A) to the hosted stack (Dense B)?","Correctness remained unchanged at 3.00, but latency dropped.","Correctness raised from 3.00 to 4.78, and the share of answers scoring 4 or better lifted from 44% to 94%.",The share of correct answers dropped because of API latency bottlenecks.,BM25 became twice as accurate as the dense hosted stack.,"The local stack was unable to parse the 10-K tables, crashing the GPU.",B,Section 5 ('Observations and Reflections') states: 'Moving from the local stack to the hosted one raised correctness from 3.00 to 4.78 and lifted the share of answers scoring 4 or better from 44% to 94%.'
"When processing text sequences with Keras as described in François Chollet's 'Deep Learning with Python, 2nd edition' reference readings, what layer is typically used to vectorize text?",Dense,TextVectorization,Conv2D,LayerNormalization,RecurrentMatrix,B,"In Chollet Chapter 11 (referenced on slide 'Next Steps' of Lecture 7 and Lecture 8), the 'TextVectorization' layer is the primary Keras API used to standardize, tokenize, and index raw text sequences."
