question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"Why does standard few-shot prompting, which asks the model to emit the final answer immediately, often fail on multi-step reasoning or mathematical problems?","Because the model has to run backpropagation during inference, which causes timeout errors.","Because a transformer spends a fixed amount of compute per generated token, and immediate output forces it to commit to a first token with only one forward pass of 'thought'.",Because numbers cannot be represented as embeddings inside the lookup table.,Because the output vocabulary is limited to text characters alone.,"Because direct prompting freezes the attention matrices, disabling context routing.",B,"A transformer does a fixed amount of computation per token. Emitting the answer immediately allows only one forward pass to 'think'. Furthermore, autoregression is irreversible: once an incorrect first token is emitted, the model is bound to continue a sequence consistent with that error."
"What simple phrase, discovered by Kojima et al. (2022), triggers latent reasoning behavior in zero-shot Chain-of-Thought (CoT) prompting?","""Answer directly without explanations.""","""Using your internal knowledge, output the result.""","""Let's think step by step.""","""According to human preferences, solve this.""","""Perform supervised fine-tuning on this query.""",C,"Appending ""Let's think step by step"" to a prompt triggers zero-shot CoT. No examples are needed; the phrase alone steers the model to generate intermediate reasoning paths, converting serial reasoning depth into sequence length."
"How does the self-consistency method improve the reliability of Chain-of-Thought prompting, and what is its operational dependency?",It trains an external neural classifier and requires greedy decoding (T=0).,"It samples m diverse reasoning chains at temperature T > 0, extracts their final answers, and returns the majority answer; it depends on temperature sampling to ensure path diversity.",It updates the weights of the prompt-tuning adapter using a gradient-based loss.,It runs a deterministic math checker and requires a single beam search run.,It enforces a zero-shot constraint and is restricted to simple classification tasks.,B,"Self-consistency samples m diverse reasoning paths at T > 0. Noise is cancelled out by taking the majority vote. This depends on T > 0, as greedy decoding (T = 0) would simply produce m identical copies of the same path."
"How does ""Generated Knowledge Prompting"" work, and what is its core limitation?",It pulls documents from an external vector database; its limitation is latency.,It has the model write a set of factual statements about a topic before answering; its limitation is that the generated 'knowledge' comes from the same fallible model.,It trains a small binary classifier; its limitation is that it requires 100% full fine-tuning.,It replaces text tokens with numerical coordinates; its limitation is the curse of dimensionality.,It uses an offline RLHF judge; its limitation is self-preference bias.,B,"Generated knowledge prompting has the model write facts about the topic first to anchor its final answer. The limitation is that if the model's generated knowledge contains hallucinations, the final answer will build on those errors."
"A developer is currently pasting a 3,000-token instruction template into every single user request. What is the primary economic and technical argument for moving this behavior into model weights via fine-tuning?",Pasting instructions increases the model's parameter count at serving time.,Fine-tuning reduces context window utilization and eliminates the per-call cost of renting prompt-token behavior.,Fine-tuning allows the model to access external search APIs directly.,Fine-tuning is the only way to enable greedy decoding at inference time.,Large prompt templates increase the standard deviation of GRPO advantages.,B,"Prompt tokens are billed and recomputed on every call. Fine-tuning builds the behavior directly into the weights, which means the model 'remembers' the style/format instructions natively, saving context space and per-query serving costs."
"What causes catastrophic forgetting in supervised fine-tuning, and what is the most direct remedy?",It is caused by freezing the base model; the remedy is to double the learning rate.,It is caused by training on a narrow dataset which overwrites weights encoding earlier capabilities; the remedy is data mixing (blending general-purpose data into training).,It is caused by using a high rank r in LoRA; the remedy is to set r=1.,It is caused by using a chat template; the remedy is to strip all special control tokens.,It is caused by quantization; the remedy is to run post-training calibration.,B,"SFT on a narrow dataset pulls all weights toward a specific behavior, degrading general capabilities (like math or dialogue). Data mixing (including pretraining-style or broad instruction data in SFT) ensures the model rehearses old capabilities."
"During Supervised Fine-Tuning (SFT) of a causal language model, why are the prompt tokens assigned an 'ignore index' (e.g., -100) in the loss computation?",To ensure that prompt tokens are completely erased from the context window during inference.,"To prevent the model from being penalized for failing to predict the user's instructions, focusing the learning signal solely on the desired response.",To speed up decoding by allowing the model to generate prompt tokens in parallel.,To automatically quantize the prompt activations to 4-bit NF4 precision.,To allow the policy model to calculate unnormalized posterior spam scores.,B,Loss masking applies an ignore index to prompt tokens. This focuses training on generating the ideal response given the prompt and removes any incentive for the model to memorize the prompts themselves.
"What did Zhou et al. (2023) find regarding the amount of SFT data required to unlock instruction-following behavior, and how is this interpreted?","They found that at least 100,000 examples are needed because SFT must teach the model all its factual knowledge from scratch.","They found that surprisingly little (e.g., ~1,000 high-quality, diverse demonstrations) is sufficient, showing SFT primarily teaches style and format while knowledge lives in the pretrained base.",They found that SFT requires billions of tokens to prevent catastrophic forgetting.,They found that SFT is ineffective and should always be bypassed for DPO.,They found that annotator absolute scores are far more reliable than comparative rankings.,B,"The LIMA paper (Zhou et al., 2023) showed that SFT acts as a behavior/style unlocker. The factual knowledge already exists in the pretraining weights, so ~1,000 clean, diverse expert demonstrations are enough."
"What is a common, silent engineering bug that occurs when serving a fine-tuned chat model?",Running the model at a temperature below 0.5.,"Serving the model with a different chat template than the one used during fine-tuning, which quietly collapses quality.",Using LoRA adapters instead of full fine-tuning.,Attaching a scalar head to the output projection matrix.,Applying product quantization to the vector index.,B,"Causal chat models learn the structural boundaries of conversations via special control tokens (chat templates). Fine-tuning with one template and serving with another mismatch makes the model fail to recognize turns, causing output quality to collapse."
"Prompt tuning and prefix tuning both keep every weight matrix of the base model frozen. According to Homework 10, what distinguishes their mechanisms?","Prompt tuning trains a scalar temperature, while prefix tuning trains the softmax denominator.",Prompt tuning acts at the input embeddings alone; prefix tuning inserts trainable key and value vectors into the attention of every layer.,"Prompt tuning updates the embedding table, while prefix tuning updates the output projection.","Prompt tuning needs a quantized base, while prefix tuning needs a full-precision base.","Prompt tuning requires a separate reward model, while prefix tuning uses a math verifier.",B,"Prompt tuning (Lester et al., 2021) prepends trainable vectors to the input embeddings alone, whereas prefix tuning (Li and Liang, 2021) inserts trainable keys/values into the attention of every layer, giving it deeper reach at a higher parameter cost."
"A LoRA adapter is attached to a single projection matrix W in Rd x k with d = 2048 and k = 8192, trained at rank r = 16. How many trainable parameters does the adapter hold, and what fraction of the full matrix does that represent?","81,920 parameters; 0.49%","131,072 parameters; 0.78%","163,840 parameters; 0.98%","327,680 parameters; 1.95%","16,777,216 parameters; 100%",C,"The number of trainable parameters in LoRA is r(d + k). Here, 16 x (2048 + 8192) = 16 x 10,240 = 163,840 parameters. The full matrix size is d x k = 2048 x 8192 = 16,777,216. The fraction is 163,840 / 16,777,216 approx 0.98%, showing how PEFT drastically reduces trainable parameter counts."
"How are the two thin matrices B and A initialized in LoRA, and why is this initialization pattern chosen?","Both B and A are initialized to random Gaussian values, ensuring high exploration at step 0.","Both B and A are initialized to zero, making the model at step 0 completely random.","A is initialized to random Gaussian values and B is initialized to zero, ensuring that the adapter output Delta W = BA is exactly zero at step 0 (identical to the pretrained model).",A is initialized to identity matrices and B is initialized to one.,Both B and A are initialized with pre-trained word embeddings from GloVe.,C,"By initializing B to zero, the low-rank update Delta W = BA is exactly zero at step 0. This guarantees that training starts precisely from the state of the unmodified pretrained base model, preventing any early degradation of capabilities."
"What is a major operational advantage of LoRA at serving time, and how can training-to-serving latency be reduced to exactly zero?","A trained adapter must stay separate, so we must pay a forward pass overhead per adapter.","The low-rank patch BA can be folded (merged) directly into the frozen base weights W once training ends, adding zero latency at inference.","LoRA adapters do not require any GPU memory, allowing CPU-only hosting.",LoRA automatically expands the context window by 2r tokens.,LoRA eliminates the need for any tokenizer or vocabulary.,B,"Because the fine-tuned update is additive, once training is complete, the matrix product BA (of shape d x k) can be computed and added directly to the frozen weights W. This 'collapses' the adapter, resulting in zero added latency at serving."
"Why is a reduction in model weight precision (e.g., from 16-bit to 4-bit) so effective at doubling the token generation speed during the decode phase of LLM serving?",Because 4-bit calculations require more FLOPS than 16-bit float operations.,"Because the decode phase is memory-bandwidth bound; since every generated token reloads all model weights, halving the byte size roughly doubles the generation speed.",Because 4-bit quantization automatically reduces the vocabulary size by 75%.,"Because the prefill phase is compute-bound, whereas decode requires zero weight reloading.",Because 4-bit NF4 weights are stored in the CPU cache instead of GPU VRAM.,B,"While the prefill phase (processing the prompt) is compute-bound, the decode phase (emitting tokens one-by-one) is memory-bandwidth bound. The GPU spends its time loading weights from VRAM to SRAM. Shrinking weight bit width reduces bytes to transfer, directly boosting decode speed."
"Beyond roughly 7B parameters, naive per-tensor quantization degrades sharply. According to Homework 10, what causes this phenomenon?",The weight matrices exceed the integer grid's addressable range at that scale.,Larger models store their weights in a byte order the quantizer misreads.,"A tiny fraction (<1%) of hidden channels carry outlier activations 10 to 100 times larger, consuming the integer grid.",The rounding operation saturates once a fixed parameter count is exceeded.,The Chinchilla scaling law dictates that parameters and tokens must scale quadratically.,C,"Dettmers et al. (2022) discovered that beyond 7B parameters, outlier activations (10-100x larger than typical values) emerge in under 1% of hidden channels. A naive scale stretched to cover these outliers leaves too few integer levels for the remaining 99% of activations, crushing quantization precision."
Which of the following correctly pairs an advanced quantization scheme with its mechanism for protecting quality against outlier activations?,LLM.int8(): runs the entire model in 4-bit NF4 with no FP16 operations.,"GPTQ: quantizes weights one layer at a time, using second-order (Hessian) information to spread rounding errors across remaining weights.",AWQ: forces all weights to zero-point offsets in an identity matrix.,Post-training quantization: trains the model using active RLHF with an LLM judge.,QLoRA: copies the weight matrices into 16 separate A100 GPUs.,B,"GPTQ (Frantar et al., 2023) is a layer-wise PTQ scheme that uses second-order Hessian information to dynamically adjust unquantized weights to compensate for the rounding error of quantized ones. AWQ rescales salient channels, and LLM.int8() separates outlier channels into FP16."
"An 8B-parameter model is prepared for fine-tuning. A full fine-tune in FP16 with mixed-precision AdamW costs roughly 16 bytes per parameter once weights, gradients, and optimizer states are counted, while a QLoRA setup stores the frozen base in 4-bit NF4. What is the weight memory of the 4-bit base, and the total memory of the full FP16 fine-tune?",2 GB; 64 GB,4 GB; 128 GB,8 GB; 96 GB,16 GB; 160 GB,3.5 GB; 15 GB,B,"Base NF4 weight memory: 8 x 10^9 x 0.5 bytes (4 bits = 0.5 bytes) = 4 GB. Full fine-tune with AdamW: 8 x 10^9 x 16 bytes (AdamW stores weights in FP16 [2B], gradients in FP16 [2B], FP32 master weights [4B], and momentum + variance [8B]) = 128 GB. QLoRA enables training an 8B model on a single consumer GPU."
"In the AG News case study (Qwen3-1.7B-4bit) from Lecture 9, rewording a zero-shot prompt moved accuracy from 41.0% to 83.0%. What was the primary error mode of the bad prompt?",The model crashed because of an out-of-vocabulary token.,"The model repeatedly output ""I don't know"" due to temperature saturation.","The brittle phrasing of the bad prompt caused the model to output ""World"" for 160 of the 200 articles.",The model predicted all articles as Sci/Tech because of high frequency penalties.,The model merged all classes into a single dense vector embedding.,C,"The bad zero-shot prompt exhibited a strong bias, classifying 160 out of 200 articles as 'World'. Rewording the request to anchor attention properly restored unbiased predictions and boosted accuracy to 83.0%."
"In the same AG News case study, what was the primary classification confusion of the zero-shot prompt (83% accuracy), and how did the QLoRA fine-tune (91% accuracy) affect it?",Sports was read as Business; the fine-tune doubled this confusion.,Sci/Tech articles were read as Business (16 of 50); the fine-tune nearly eliminated this confusion.,World was read as Sports; the fine-tune merged them into a single category.,The model could not output anything because unified memory was exceeded.,Business was read as Sci/Tech; the fine-tune increased temperature to compensate.,B,"As shown in the confusion matrices, the zero-shot prompt confused 16 Sci/Tech articles as Business. The QLoRA fine-tuned model (trained on 2,000 examples in ~3.4 minutes) successfully learned the decision boundaries, resolving this confusion."
"Why is Supervised Fine-Tuning (SFT) on human demonstrations alone insufficient for aligning models to be helpful, honest, and harmless (HHH)?",Because SFT requires freezing all layers of the transformer.,Because humans are unreliable at comparing and ranking responses.,"SFT provides no mathematical mechanism to directly penalize toxic, deceptive, or dangerous outputs, and human annotators struggle to write ideal answers for open-ended prompts.",SFT is restricted to classification tasks and cannot be used for generative assistants.,SFT cannot run on GPUs with less than 80 GB of memory.,C,SFT is behavioral cloning; it has no direct mechanism to penalize bad trajectories (like toxic behavior or sycophancy). Comparing and ranking responses is far more reliable and easier for humans than writing the perfect answer from scratch.
"In Phase 2 of RLHF, how is the reward model trained on human comparisons, and what is its loss function?",It is trained on absolute quality scores (1-10) using mean squared error.,It is trained on winning and losing response pairs using the Bradley-Terry objective to widen the score gap between preferred and rejected completions.,It is trained contrastively to align token embeddings with image caption embeddings.,It is trained by setting the causal mask to negative infinity.,It is trained by minimizing the population standard deviation of GRPO.,B,The reward model is trained on comparative pairs. The Bradley-Terry objective pushes the score of the preferred response up and the rejected response down. Rankings are used because annotators agree on comparisons far more than on absolute scores.
Why is PPO-based reinforcement learning notoriously hard and expensive to run in terms of hardware infrastructure?,It requires freezing the entire base model and running DPO instead.,"It requires keeping four large models resident in memory simultaneously: the active policy, a frozen reference model, the reward model, and PPO's value model.","It depends entirely on deterministic math verifiers, which consume substantial CPU resources.",It requires running continuous batching across ten separate vector indexes.,It does not support LoRA or any parameter-efficient adapter.,B,PPO-based RLHF is resource-intensive because four copies/variants of the LLM must reside in GPU memory at once. It also involves online generation in the loop and is highly sensitive to hyperparameters.
"What is ""reward hacking"" in RLHF, and what are its common manifestations?",It is when hackers exploit a vulnerability in a vector database to overwrite metadata.,"It is when the policy model exploits leaks in the proxy reward model to score highly without being actually helpful (manifesting as sycophancy, padded hedging, and confident verbosity).","It is when an LLM judge favors concise, direct answers over longer ones.",It is when a deterministic math checker is forced to return a negative standard deviation.,It is when the KL penalty is reduced to zero to accelerate fine-tuning.,B,"Proxy models leak. When optimizing a policy against a reward model, the model finds shortcuts to maximize the score, resulting in sycophantic praise, over-the-top hedging ('As an AI...'), and fluff (verbosity) that the reward model rates highly."
"One alignment method eliminates the separate reward model by treating the policy as its own implicit reward, which turns preference tuning into a supervised loss over preference pairs. According to Homework 10, which method is this?",Proximal Policy Optimization (PPO),Group Relative Policy Optimization (GRPO),Reinforcement Learning with Verifiable Rewards (RLVR),Direct Preference Optimization (DPO),Constitutional AI (CAI),D,"Rafailov et al. (2023) showed that the reward can be represented implicitly using the policy itself. This Bradley-Terry substitution collapses preference tuning into a single supervised loss on the policy itself, eliminating the need to train or host a separate reward model."
How does Group Relative Policy Optimization (GRPO) eliminate PPO's separate value model while maintaining reinforcement learning capabilities?,By using an offline cross-encoder to rescore all candidates.,By sampling a group of G responses and using their average reward as the baseline to compute relative advantages.,By forcing the policy to output structural JSON schemas on every step.,By running a deterministic checker that scores responses with absolute zero.,By utilizing a multi-head self-attention layer to compute positional encodings.,B,"GRPO (Shao et al., 2024) samples a group of G responses to a prompt. It computes the average and standard deviation of their rewards, using them to normalize rewards into relative advantages. This baseline replaces PPO's learned value network, removing one full model from memory."
"GRPO samples a group of G = 5 responses to one prompt from the current policy and scores them: r1 = 4, r2 = 6, r3 = 7, r4 = 8, r5 = 10. According to Homework 10, using the population standard deviation, what is the standard deviation of the group, and the advantage GRPO assigns to the response that scored 4?",std = 2.0; A = -1.5,std = 2.2; A = -1.36,std = 3.0; A = -1.0,std = 6.0; A = -0.5,std = 4.0; A = -0.75,A,"Mean is (4+6+7+8+10)/5 = 7. Squared deviations from mean are (-3)^2, (-1)^2, 0^2, 1^2, 3^2, which are 9, 1, 0, 1, 9. Sum = 20. Population variance = 20/5 = 4. SD = sqrt(4) = 2.0. The advantage for r1=4 is A1 = (4-7)/2.0 = -1.5. A negative advantage lowers the probability of every token in that response."
"When correctness can be checked by a program (e.g., math or code unit tests), we can use Reinforcement Learning with Verifiable Rewards (RLVR). What is a major advantage of RLVR over learned reward models?","It eliminates the KL penalty entirely, allowing unconstrained policy drift.","The reward is deterministic, exact, and computed by a checker, meaning there is no proxy to exploit, so sycophancy and confident verbosity earn a plain zero.",It restricts the model output to a single BPE subword token.,It runs in sublinear O(log N) time on any CPU.,It allows the model to fine-tune on its own context window without a GPU.,B,"Because RLVR utilizes a programmatic verifier (e.g., math answer checking or unit tests), the reward is absolute and objective. This prevents common RLHF failure modes like reward hacking (sycophancy and verbosity), since fluff that fails the unit test receives a reward of zero."
"What is RLAIF (Reinforcement Learning from AI Feedback), and what is its canonical framework?",It is an alignment method where human annotators are replaced by a physical robot; its framework is PPO.,"It replaces human annotators with a strong LLM judge; its canonical framework is Constitutional AI, where the judge ranks outputs against a written list of principles.",It is a technique that stores all human feedback in a Postgres vector database.,It forces the policy model to use unmasked bidirectional self-attention.,It is a serving framework that optimizes continuous batching.,B,"RLAIF (Bai et al., 2022) scales up preference collection by utilizing a capable LLM in the annotator role. In Constitutional AI, the model critiques and ranks candidate responses based on a set of explicit written rules or principles (the 'constitution')."
"What systematic biases are known to affect LLM judges (RLAIF) when grading outputs, and how can they be mitigated?",They prefer short answers and tend to favor models from competing families.,"They favor verbose and confident answers, exhibit self-preference bias (favoring their own style), and can be mitigated by choosing a judge from a different model family.",They exhibit binary search biases and can be mitigated by disabling temperature scaling.,They favor unigram representations over bigrams.,They cannot be run on Apple Silicon hardware.,B,"LLM judges exhibit verbosity bias (favoring longer, fluffier answers) and self-preference bias (favoring outputs that match their own style). Using a judge from a completely different model family and randomizing candidate order helps mitigate these issues."
Which of the following outlines the correct sequence of stages in the full modern training pipeline of a production conversational assistant?,Supervised Fine-Tuning (SFT) -> Pretraining -> Deployment -> Preference Tuning,Pretraining -> Supervised Fine-Tuning (SFT) -> Preference Tuning (RLHF/DPO/GRPO) -> Deployment,Preference Tuning -> Supervised Fine-Tuning (SFT) -> Pretraining -> Decoding Control,Pretraining -> Decoding Control -> Deployment -> SFT,RAG Ingestion -> SFT -> Prefix Tuning -> Pretraining,B,"The modern pipeline starts with pretraining on trillions of tokens (text predictor base model), followed by SFT on instruction-response pairs to teach chat/conversational format, then preference tuning (using RLHF/DPO/GRPO) to align with human values, and finally deployment with optimized decoding settings."
