question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
How does multivariate linear regression extend the simple linear regression model?,It uses multiple target variables instead of a single output label.,It forces Spark to execute training in parallel across multiple independent JVM clusters.,It converts all continuous variables into categorical indices before training.,It replaces estimators with transformers to run in lazy evaluation mode.,"It incorporates multiple independent features, with each feature assigned a separate coefficient.",E,"Slide 42 explains: 'In multivariate linear regression, multiple features (e.g., x = [x1, x2, x3]) contribute to the prediction, with each feature assigned a separate coefficient, allowing for more detailed and accurate modeling.'"
What is the definition of a Transformer in Spark MLlib?,An algorithm that fits models by learning parameter coefficients from data.,A utility used exclusively to connect programmatically to relational databases.,An execution planner that optimizes SQL queries using the Catalyst Optimizer.,"An abstraction that processes or transforms data (e.g., adding or modifying columns) without learning from it.",An eager evaluation trigger that initiates multiple Spark jobs immediately.,D,"Slide 24 and Slide 43 define transformers as components that process or transform data without learning from it (e.g., VectorAssembler, StringIndexer)."
What is the definition of an Estimator in Spark MLlib?,A tool used to measure memory consumption and execution duration on executors.,A categorical encoder that converts string variables into numerical vectors.,A visualization library that plots residuals and loss curves in the MLflow UI.,"An algorithm or abstraction that fits models by learning parameters from data, returning a Model.",A lazy evaluation component that records a lineage of data preparation steps.,D,"Slide 24 and Slide 43 define estimators as components that process a DataFrame to learn parameters and return a Model (e.g., LinearRegression, RandomForestRegressor) using a .fit() method."
Which of the following correctly describes the evaluation differences between Estimators and Transformers in Spark?,"Estimators are eagerly evaluated and initiate Spark jobs, whereas Transformers are lazily evaluated.","Estimators run strictly on the driver, while Transformers distribute work to worker threads.","Estimators are lazily evaluated, while Transformers are eagerly evaluated.",Both Estimators and Transformers are eagerly evaluated and trigger Spark actions immediately.,Both Estimators and Transformers are lazily evaluated and do not activate until action is called on the driver.,A,"Slide 43 states: 'Estimators like LinearRegression are eagerly evaluated and initiate Spark jobs when called. This contrasts with transformers, which are lazily evaluated and do not activate until required.'"
What is the primary utility of the Pipeline API in Spark MLlib?,It provides a low-latency streaming connection to Apache Kafka partitions.,"It simplifies the management of multiple data preparation steps by sequencing stages, ensuring correct execution order.",It converts Spark DataFrames into NumPy arrays to run training in pure Python.,It allows Spark to execute SQL queries directly against a local filesystem without metadata.,It automatically registers trained models to the MLflow Model Registry.,B,"Slide 34 explains: 'The Pipeline API simplifies the management of multiple data preparation steps by allowing specification of stages in a sequence, ensuring correct execution order and improving code reusability.'"
"In Spark MLlib, how do Pipelines and PipelineModels behave regarding the Estimator and Transformer abstractions?","Both are estimators, requiring manual specification of .fit() and .transform() methods.",A Pipeline is an estimator that creates PipelineModels (which are transformers) upon fitting.,"A Pipeline is a transformer, while a PipelineModel is an estimator.","A Pipeline is a managed database table, while a PipelineModel is a read-only metadata view.","Both are transformers, evaluated lazily without triggering Spark jobs.",B,"Slide 34 states: 'In Spark, the Pipeline itself is an estimator, creating PipelineModels upon fitting. These PipelineModels function as transformers, streamlining the transition from model training to application.'"
How does the Pipeline API streamline the machine learning workflow in Spark?,It automatically handles hyperparameter tuning without user-configured parameter grids.,It automatically converts Python code to Scala bytecode at compile time.,It forces all data to be stored as SparseVectors to optimize RAM usage.,It provides built-in visualizations of decision trees in the Spark Web UI.,"It automates the differentiation between estimators and transformers, eliminating the need to manually call .fit() and .transform() on individual stages.",E,"Slide 34 states: 'The Pipeline API automates the differentiation between estimators and transformers within the workflow, eliminating the need for manual specification of .fit() and .transform() methods...'"
"Before training a machine learning model in Spark MLlib, what structural requirement must the input DataFrame meet?",All categorical values must be stored as raw string columns.,All input features must be encapsulated within a single vector in a single column (typically named 'features').,The DataFrame must be converted to an RDD to run model fit functions.,Every column must be scaled to have a mean of 0 and a standard deviation of 1.,All double precision columns must be renamed to 'price'.,B,Slide 18 states: 'linear regression in Spark necessitates having all input features encapsulated within a single vector in the DataFrame.'
What is the specific role of the VectorAssembler in a Spark MLlib preprocessing pipeline?,It renames string variables to match the parquet schema space.,It serializes Python Pandas series using Apache Arrow for vectorized execution.,It fits a linear regression line to find coefficients and intercepts.,"It compiles multiple data columns into a single vector column, creating a new DataFrame.",It splits a DataFrame into training and test datasets based on a specified seed.,D,"Slide 18 explains: 'Specifically the VectorAssembler compiles multiple data columns into a single vector... takes selected input columns and combines them into a new ""features"" column in a new DataFrame...'"
What is the purpose of One-Hot Encoding in categorical data preprocessing?,To convert categorical categories into numeric vectors to prevent the model from assuming arbitrary numerical relationships.,To convert continuous variables into distinct ordinal categories.,To store only the non-zero elements in a memory-intensive DataFrame.,To replace null values with the mean of the corresponding column.,To reduce the dimensions of numerical features using principal components.,A,"Slide 35 explains: 'Categorical values such as 'Dog', 'Cat', and 'Fish' are converted into numeric vectors using one-hot encoding to prevent arbitrary numerical relationships.'"
"What is a SparseVector in Spark, and why is it highly efficient for one-hot encoded data?",It is a Python list converted to JVM arrays row-by-row.,"It is a vector containing only continuous values, optimized for GPU processing.",It is an RDD-based legacy storage structure used to bypass DataFrame memory overhead.,It is a vector that allows metadata to be written dynamically to the Parquet format.,"It manages memory and compute resources by storing only non-zero elements, which is ideal for the many '0' values resulting from one-hot encoding.",E,"Slide 35 states: 'SparseVectors in Spark manage memory and compute resources effectively by storing only non-zero elements, ideal for datasets resulting from one-hot encoding.'"
"In Spark MLlib, how are categorical string values processed sequentially using StringIndexer and OneHotEncoder?","StringIndexer converts strings to binary vectors, then OneHotEncoder indexes them.","StringIndexer converts string values to numerical indices, which are then mapped to binary vectors with OneHotEncoder.","StringIndexer scales columns, then OneHotEncoder combines them with VectorAssembler.","StringIndexer creates a SparkSession, then OneHotEncoder launches Spark jobs.","StringIndexer fits the model, then OneHotEncoder evaluates the model.",B,"Slide 36 states: 'Categorical string values are first converted into numerical indices with StringIndexer, then mapped to binary vectors with OneHotEncoder.'"
What major API change occurred in Spark's StringIndexer and OneHotEncoder from older Spark versions (2.x) to Spark 3.0?,They were modified from handling only a single column to being able to process multiple columns simultaneously.,They were deprecated and replaced entirely by Pandas UDF APIs.,They were moved from the spark.ml package to the spark.mllib package.,They were converted from estimators into lazy evaluation transformers.,They no longer require Apache Arrow for serialization.,A,Slide 36 (and the chart on Slide 46/47) explains: 'Changes in Spark's StringIndexer and OneHotEncoder from handling single columns to multiple columns in newer versions [Spark 3.0] improve functionality and versatility.'
"In StringIndexer (as shown in code examples), what does the parameter handleInvalid='skip' do?",It raises a runtime exception to halt execution of the pipeline.,It filters out or skips rows containing invalid or unseen category values during transformation.,It skips the StringIndexer step entirely and passes strings directly to VectorAssembler.,It ignores the error and replaces invalid category values with 0.,It skips the execution of the Transformer if any null value is found in the partition.,B,"As shown in the code on Slides 38 & 57, `StringIndexer(..., handleInvalid=""skip"")` is used to gracefully skip rows with invalid or unseen categories when transforming the dataset."
Which evaluator and metrics are commonly used in Spark.ml to assess regression models like the Airbnb price predictor?,ClusteringEvaluator; silhouette coefficient.,CrossValidator; average fold loss.,MulticlassClassificationEvaluator; accuracy and F1 score.,RegressionEvaluator; RMSE (Root Mean Square Error) and R2 (R-squared).,BinaryClassificationEvaluator; AUC and precision.,D,"Slide 44 explains: 'Spark.ml offers various evaluators for different types of machine learning problems, with specific tools like RMSE and R2 for assessing regression models.'"
How does Root Mean Square Error (RMSE) evaluate a regression model's predictive error?,It represents the slope of the linear regression line on a coordinate plane.,"It calculates the square root of the mean squared error, normalizing the average magnitude of the error.",It sums up the absolute differences between predictions and actual values without squaring them.,It measures the proportion of variance in the dependent variable explained by features.,It measures the percentage of correct class labels predicted on the test set.,B,"Slide 44 states: 'Root Mean Square Error (RMSE) measures the average magnitude of the error by calculating the square root of the mean squared error, which normalizes the sum of squared differences between predicted and actual values.'"
"What is an ensemble model, and why are tree-based ensemble models like Random Forests typically highly accurate?","They bypass lazy evaluation pipelines entirely, completing training in a single step.","They compile Python code to run directly on Spark drivers without executors, reducing latency.",They strictly use linear algebra equations to completely eliminate residuals.,"They combine predictions from multiple decision trees, resulting in predictions that tend to be more accurate and robust than any single model.",They convert numerical data into a single SparseVector containing only zeroes.,D,"Slide 45 states that because ensemble models combine predictions from multiple models, 'the result tends to be more accurate and robust than the predictions of any single model'."
What is the bootstrapping technique utilized when training a Random Forest?,Rebooting executors sequentially to clear JVM garbage collection memory.,Gradually increasing the learning rate during stochastic gradient descent.,Automatically downloading library dependencies on worker nodes using MLflow.,Training each decision tree on a subset of the original dataset sampled with replacement.,Randomly selecting a subset of features by columns for each tree split.,D,"Slide 45 explains: 'Each decision tree in a random forest is trained on a bootstrap sample, which is a subset of the original dataset sampled with replacement...'"
How do Random Forests achieve diversity and reduce correlation among individual decision trees?,By converting some trees into estimators and others into transformers.,By executing classification algorithms on some partitions and regression algorithms on others.,By using different random seeds for each individual executor thread.,"By using different machine learning libraries (e.g., mixing scikit-learn and MLlib) across nodes.",By bootstrapping samples by rows and performing random feature selection by columns.,E,"Slide 45 states: 'Random forests are ensembles of decision trees, enhanced by two specific techniques: bootstrapping samples by rows and random feature selection by columns.'"
"In machine learning model tuning, what is the difference between a parameter and a hyperparameter?","Parameters are only used in Python, while hyperparameters are used only in Scala.","Hyperparameters are set upfront (e.g., number of trees) to optimize performance, while parameters are dynamically learned during training.",There is no difference; they are interchangeable terms in Spark MLlib.,"Parameters are configured upfront by users, while hyperparameters are learned dynamically.","Hyperparameters require GPU clusters, while parameters can run on a single CPU core.",B,"Slide 45 states: 'hyperparameters... are crucial for enhancing a model's predictive accuracy, contrasting with parameters that are dynamically learned during the training process.'"
What are the core components of the machine learning lifecycle that MLOps seeks to manage?,"DAG execution plans, linear stages, cluster configurations, and driver communication.","Virtual machine hypervisors, container bundling, and physical host networking.","DDL operations, schema enforcement, index generation, and query optimization.","Model training & experiment tracking, validation & testing, deployment & serving, monitoring, and retraining.","Kafka topic ingestion, checkpointing, event triggers, and streaming sinks.",D,Slide 46 lists the key steps of the ML lifecycle managed in MLOps: 'Model Training & Experiment Tracking... Model Validation & Testing... Deployment & Serving... Monitoring & Performance Tracking... Retraining & Lifecycle Management'.
"What is Experiment Tracking in the context of MLOps, and what parameters does it systematically record?",Real-time auditing of user database queries using Spark Live Listener events.,"Systematic logging and comparison of model training runs, capturing hyperparameters, metrics, artifacts, and code/version context.",A container monitoring strategy that captures CPU load and network packet loss on worker nodes.,"A process of checking database constraint violations, tracking unique primary keys.",An automated testing suite that validates code formatting and syntax prior to Git commits.,B,"Slide 47 defines Experiment Tracking as: 'Systematic logging and comparison of model training runs. Captures: Hyperparameters (learning rate, batch size, etc.), Metrics (accuracy, loss, F1, etc.), Artifacts (models, plots, datasets), Code/version context (Git commit, environment).'"
What is MLflow as defined in Lecture 11?,A proprietary Databricks compute engine that replaces Apache Spark's core JVM.,A lightweight Python wrapper around scikit-learn for plotting decision trees.,An orchestration tool that manages when tasks run and in what order based on DAGs.,"An open source platform that helps developers reproduce and share experiments, manage models, and much more.",A real-time transactional storage layer that provides ACID guarantees over Data Lakes.,D,"Slide 48 states: 'MLflow is an open source platform that helps developers reproduce and share experiments, manage models, and much more. It provides interfaces in Python, R, and Java/Scala, as well as a REST API.'"
"Match the four primary MLflow components—Tracking, Projects, Models, and Registry—to their correct descriptions.",Tracking deploy models; Projects record runs; Models manage versions; Registry standardizes packaging.,Tracking visualizes clusters; Projects schedules tasks; Models fits equations; Registry connects programmatically.,Tracking handles ACID transactions; Projects compiles JVM bytecode; Models indexes tables; Registry runs Docker.,Tracking records experiments; Projects package projects with dependencies; Models package models for deployment; Registry manages model lineage and versions.,There are only two components in MLflow: MLflow Server and MLflow UI.,D,"Slides 49, 50, and 51 define the four core components: Tracking (APIs to record parameters/metrics/artifacts), Projects (standardized format to package project dependencies), Models (packaging format for diverse deployments), and Registry (centralized repository for versioning/lineage/stage transitions)."
"Using the MLflow Tracking API in Python, what functions are used to record hyperparameters (key/value inputs) and performance metrics (numeric values)?",mlflow.log_variable() and mlflow.log_value(),mlflow.write_parameter() and mlflow.write_metric(),mlflow.record_hyperparameter() and mlflow.record_loss(),mlflow.log_artifact() and mlflow.log_model(),mlflow.log_param() and mlflow.log_metric(),E,"Slide 52 and Slide 60 (code) demonstrate using `mlflow.log_param()` (or log_params) to log hyperparameters such as max_depth and num_trees, and `mlflow.log_metric()` (or log_metrics) to log numeric metrics such as RMSE or R2."
"What is the purpose of logging Artifacts in MLflow Tracking, and what are typical examples shown in the slides?",Logging JVM execution threads; examples include thread pool logs and heap dumps.,Logging Git commit messages; examples include commit hashes and author names.,"Logging files, data, and models (e.g., matplotlib images or Parquet files) to ensure reproducibility and persist results.",Logging database connection credentials; examples include passwords and JDBC URLs.,Logging user profile information; examples include user names and session IDs.,C,"Slide 52 and Slide 53 state: 'Artifacts: Users can log files, data, and models, such as matplotlib images or Parquet files, which are crucial for reproducing experiments and understanding model outputs.' Code on Slide 63/64 shows logging a `feature-importance.csv` artifact."
What capabilities are provided by the MLflow UI for managing machine learning runs?,It provides an interactive SQL terminal to query unmanaged database tables.,It allows developers to dynamically modify parameters and metrics after a run has completed.,It monitors executor CPU load and node memory consumption in real time.,"It provides a centralized interface to view, search, compare side-by-side, export runs to CSV, and document runs with notes and tags.",It compiles Python pipelines into Scala and automatically deploys them to production.,D,"Slides 53 and 54 state that the centralized MLflow UI 'stores all runs for a given experiment, allowing users to easily access and review each run's details' and compare multiple runs. It also explicitly notes: 'you cannot modify the parameters or metrics after the run has finished.'"
How can developers programmatically query the MLflow tracking server to retrieve run details and metrics?,By utilizing the MlflowClient or REST API.,By importing VectorAssembler and calling the .fit() method.,By checking the Hive metastore directory under /user/hive/warehouse.,By using the SQL command SELECT * FROM mlflow_metastore.,By executing a terminal bash command cat /var/log/mlflow.,A,Slide 58 (and code) explains: 'You can also query the tracking server using the MlflowClient or REST API: from mlflow.tracking import MlflowClient'.
Under what real-world circumstances might Apache Spark MLlib NOT be suitable for deploying machine learning models?,When models are packaged using MLflow standardized formats.,When models are trained using supervised learning instead of unsupervised learning.,When the dataset is stored in Parquet format instead of CSV.,When there are super low-latency requirements or a lack of support for certain algorithms.,When the development team prefers Scala over Python.,D,"Slide 55 states: 'suitable due to limitations such as super low-latency requirements or lack of support for certain algorithms. In such cases, Spark can still be leveraged, but without using MLlib.'"
"When Spark MLlib is not suitable for deployment, how can Pandas UDFs (User Defined Functions) be leveraged?",To compile Python scripts into Java bytecode before running on worker nodes.,To convert DataFrames into unstructured RDDs to save memory on executors.,To automatically partition Delta Tables based on categorical column schemas.,"To apply pretrained local models (e.g., built with scikit-learn or TensorFlow) at scale across a Spark distributed environment.",To rewrite the model logic into SQL queries executed on the database level.,D,"Slide 55 explains: 'Pandas User Defined Functions (UDFs) allow for the application of pretrained models, such as those built with scikit-learn or TensorFlow, at scale across a Spark distributed environment. This is useful for making batch or streaming predictions.'"
What optimization mechanism was introduced in Apache Spark 2.3 to significantly speed up Pandas UDFs compared to traditional PySpark UDFs?,"Incorporating Apache Arrow for data transfer, Pandas UDFs streamline the interaction between Python and Spark, significantly reducing the overhead associated with data serialization and movement.",Forcing all DataFrames to be stored as local SQLite database files.,Enforcing compile-time type safety on all Python dynamically typed inputs.,Bypassing worker nodes and running all operations directly on the JVM driver.,Automatically converting PySpark columns into Java Arrays before serializing them.,A,"Slide 66 explains that traditional PySpark UDFs suffered performance issues due to expensive data transfers, and 'By incorporating Apache Arrow for data transfer, Pandas UDFs streamline the interaction between Python and Spark, significantly reducing the overhead associated with data serialization and movement.'"
