question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
Why is containerization particularly critical for reproducible Machine Learning (ML) workflows?,It stores model weights in managed relational tables inside the centralized Hive Metastore,It automatically optimizes the hyperparameter tuning search space at the hardware kernel level,"It packages exact package versions together with the model, avoiding conflicts in critical ML libraries (e.g., NumPy, PyTorch, CUDA)",It translates dynamically-typed Python scripts directly into CUDA bytecode for parallel GPU execution,It eliminates the need for test/train splits by using containerized validation loops,C,"Slide 'Why Containerization Matters for ML' states that containerization helps with dependency management by avoiding 'Version conflicts (NumPy, CUDA, PyTorch, etc.)' and letting teams 'Package exact versions with the model'."
How does containerization assist with collaborative machine learning development and distributed model scaling?,It splits training sets into partitioned SQL shards across multiple physical hypervisors automatically,It converts Python notebooks to compiled Scala JAR files so they can scale without JVM overhead,It bypasses GitHub by pushing raw code directly to the public Docker Hub registry for live execution,"It allows teams to share entire pre-configured environments so everyone runs identical setups, and easily replicates containers for distributed training",It dynamically increases physical CPU cores and GPU memory allocations at runtime without host limits,D,"Slide 'Why Containerization Matters for ML' lists 'Scalability: Easily replicate containers across machines / Supports distributed training' and 'Collaboration: Share entire environments, not just code / Teams run identical setups'."
"In the context of the machine learning lifecycle, what deployment transition is streamlined by containerization?",A seamless transition from training environments to local inference and production APIs,The transition of structured relational databases into raw unstructured data lakes,The programmatic conversion of SQL SELECT statements into declarative Delta Live Tables (DLT),The transformation of supervised classification problems into unsupervised clustering targets,The transition of physical VM hypervisors into virtualized Apache Airflow worker nodes,A,Slide 'Why Containerization Matters for ML' defines 'Deployment' as the 'Seamless transition from: Training -> Inference -> Production APIs'.
"In the core ecosystem of Docker containerization, how is a 'Dockerfile' conceptually defined?",A background service engine that orchestrates and manages containers across a cluster,"A script containing step-by-step instructions and commands to build a static image; the ""recipe"" for your environment","An immutable blueprint containing the code, runtime libraries, and environment variables","A running instance of an application executing inside an isolated, lightweight process space",A centralized repository where pre-built environments are stored and versioned with tags,B,The 'Core Containerization Concepts' table defines 'Dockerfile' as: 'Script that defines how to build an image (instructions + dependencies)' and summarizes it as the 'Recipe for your environment'.
What is a 'Docker Image' under the core concepts of the platform?,A script containing commands to configure external storage mounts and connect network ports,"A dynamic, stateful database file that records container execution history",The background engine that does the actual work of coordinating containers on a cluster node,A running instance of an application executing inside process-level isolation,"An immutable blueprint containing application code, runtimes, and dependencies that is built once and reused many times",E,"The 'Core Containerization Concepts' table defines 'Image' as: 'Immutable blueprint containing code, runtime, and dependencies' and notes it is 'Built once, reused many times'."
What is the relationship between a 'Docker Image' and a 'Docker Container'?,"A Docker Image and a Docker Container are identical, serving as different labels for a virtual machine",A Docker Container is the recipe script used to build the static Docker Image,A Docker Container compiles code at runtime to generate an optimized Docker Image,"A Docker Container is a running, active instance of a Docker Image",A Docker Image is a running instance of a Docker Container,D,The 'Core Containerization Concepts' table defines 'Container' as: 'Running instance of an image' with the key insight: 'Your app actually executing'.
"Which Docker component acts as the background system service responsible for building, running, and managing containers?","The Docker Hub, which acts as the hypervisor interface on the host","The Docker Registry, which coordinates local filesystem port allocations","The Docker Daemon (dockerd), which acts as the core engine","The Dockerfile, which monitors container CPU and RAM usage at runtime","The Docker Volume, which schedules container replication across nodes",C,"The 'Core Containerization Concepts' table defines 'Docker Daemon' as: 'Background service (dockerd) that builds, runs, and manages containers' and lists it as 'The ""engine"" that does the actual work'."
What is a 'Docker Registry'?,"A storage location for images (e.g., Docker Hub, AWS ECR) serving as a central place to share environments",A virtual host port that allows external access to isolated container microservices,An external storage drive mounted to preserve data beyond the container's lifecycle,A script containing instructions on how to install python packages and copy directories,The metadata database that tracks active container process IDs inside the operating system,A,"The 'Core Containerization Concepts' table defines 'Registry' as: 'Storage location for images (e.g., Docker Hub, AWS ECR)' and summarizes it as the 'Central place to store/share images'."
What is the purpose of a 'Tag' under the core concepts of Docker containerization?,It connects container ports to host machine ports to expose APIs,It acts as a primary key constraint inside the SQLite metadata repository,It mounts external storage folders into container directory paths,It configures process-level memory limits on the Docker daemon,"It acts as a version label for an image (e.g., v1, latest) to enable version control of environments",E,"The 'Core Containerization Concepts' table defines 'Tag' as: 'Version label for an image (e.g., v1, latest)' and summarizes it as: 'Enables version control of environments'."
Which Docker concept represents external storage mounted into a container to persist data beyond the container's lifecycle?,Volume,Registry,Daemon,Port Mapping,Tag,A,The 'Core Containerization Concepts' table defines 'Volume' as: 'External storage mounted into a container' and notes that it 'Persist data beyond container lifecycle'.
"What Docker concept is defined as connecting container ports to the host machine to allow external access (e.g., to APIs or web applications)?",Port Mapping,Daemon Clustering,Image Tagging,Volume Mounting,Registry Querying,A,"The 'Core Containerization Concepts' table defines 'Port Mapping' as: 'Connects container ports to host machine' and notes that it 'Allows external access (e.g., APIs, web apps)'."
What is the correct logical order of steps in a typical containerization workflow?,Build Image -> Push to Registry -> Run Container -> Define Environment (Dockerfile) -> Deploy Anywhere,Deploy Anywhere -> Run Container -> Test Locally -> Define Environment (Dockerfile) -> Push to Registry,Define Environment (Dockerfile) -> Push to Registry -> Deploy Anywhere -> Build Image -> Run Container,Run Container -> Define Environment (Dockerfile) -> Push to Registry -> Build Image -> Deploy Anywhere,Define Environment (Dockerfile) -> Build Image -> Run Container -> Test Locally -> Push to Registry -> Deploy Anywhere,E,"Slide 'Typical Container Workflow' lists: 'Step 1: Define Environment', 'Step 2: Build Image', 'Step 3: Run Container', 'Step 4: Test Locally', 'Step 5: Push to Registry', and 'Step 6: Deploy Anywhere'. It summarizes this as: 'Define -> Build -> Run -> Share -> Deploy'."
Which of the following Docker CLI commands is used to build a Docker image tagged as 'my-app:v1' using a Dockerfile located in the current directory?,docker run -p 8000:8000 my-app:v1,docker build -t my-app:v1 /workspace/out,docker build -t my-app:v1 .,docker push my-app:v1,docker compile -image my-app:v1,C,Slide 'Typical Container Workflow' lists under Step 2: 'docker build -t my-app:v1 .'.
Which Docker CLI command is used to launch a container from a pre-built image named 'my-app:v1' while mapping port 8000 of the container to port 8000 of the host?,docker start -p 8000 my-app:v1,docker build -t my-app:v1 .,docker run -p 8000:8000 my-app:v1,docker push -port 8000:8000 my-app:v1,docker execute --bind-port 8000 my-app:v1,C,Slide 'Typical Container Workflow' lists under Step 3: 'docker run -p 8000:8000 my-app:v1'.
"In the mathematical and technical study of graphs, what do the terms 'Graph Order' and 'Graph Size' represent?","Graph Order is the maximum degree of any node in the graph, while Graph Size is the total memory footprint in bytes","Graph Order is the total number of edges in the graph, while Graph Size is the total number of vertices (nodes)","Graph Order is the total number of vertices (nodes) in the graph, while Graph Size is the total number of edges","Graph Order is the number of incoming directed edges, while Graph Size is the number of outgoing directed edges","Graph Order is the logical execution order of the graph query, while Graph Size is the number of clusters in the network",C,"The NetworkX code slide and Slide 'What is a Graph?' note that a graph has 'order and size equal to 4 (there are, in total, four vertices and four edges)' and 'G.number_of_nodes() # Graph Order -> 4' and 'G.number_of_edges() # Graph Size -> 4'."
"In NetworkX, if we instantiate an undirected graph of cities representing Dublin, Paris, Milan, and Rome, where Paris is connected to Milan and Dublin, Rome is connected to Milan, and Milan is connected to Dublin, Paris, and Rome, what is the degree of Milan?",Milan has a degree of 3,Milan has a degree of 4,Milan has a degree of 2,Milan has a degree of 0,Milan has a degree of 1,A,"Slide 'What is a Graph?' and Slide 'Working with NetworkX' explain that in this network, Milan is connected to Paris, Dublin, and Rome, meaning its degree is 3 because degree measures the number of incident edges."
"Which Python library is presented in Lecture 12 as the standard, primary tool for creating, manipulating, and studying complex networks?",NetworkX,GraphSAGE,PyTorch Geometric,SNAP,Matplotlib,A,"Slide 'Working with NetworkX' states: 'NetworkX is the go-to Python library for creating, manipulating, and studying complex networks.'"
"In the NetworkX library, what happens when a node is removed from a graph using a command like `G.remove_nodes_from(V)`?",Only isolated nodes with a degree of 0 can be removed; the command fails if nodes have connected edges,The nodes are hidden from visualization but preserved in the underlying adjacency matrix representation,"The specified nodes are removed, and NetworkX automatically removes all edges connected to those nodes","The specified nodes are removed, but the associated edges remain in the graph as orphaned edges",An exception is raised unless all connected edges are explicitly removed first using G.remove_edges_from(),C,The NetworkX API table on Slide 'Working with NetworkX' states: 'G.remove_nodes_from(V) Remove nodes (autoremoves edges)'.
Which of the following correct combinations of NetworkX syntax and output is shown on Slide 'Working with NetworkX'?,"`nx.degree_centrality(G, v)` to get local degree, and `G.get_edges(v)` to list neighbors","`G.nodes()` to get edge counts, and `G.edges()` to list adjacent nodes","`nx.ego_graph(G, v)` to find the global graph diameter, and `G.clear_nodes()` to remove isolated nodes","`G.degree_matrix()` to extract the pandas adjacency DataFrame, and `G.remove_edges()` to isolate nodes","`G.degree(v)` to find the degree of node v, and `G.neighbors(v)` to list its neighbors",E,The API table in 'Working with NetworkX' maps: `G.degree(v)` to 'Degree of node v' and `G.neighbors(v)` to 'Neighbors of node v'.
What is an 'Undirected Graph' in graph theory?,A graph where each edge is assigned a real-valued weight to represent distance or cost,"A graph where edges are unordered pairs {Vk, Vw}, meaning direction is irrelevant and edge {A, B} is equivalent to {B, A}",A graph that allows multiple edges to connect the same pair of nodes representing alternative paths,A graph whose vertices are partitioned into two or more distinct sets with no internal connections,"A graph where edges are ordered pairs (Vk, Vw), meaning direction matters and (A -> B) is not equivalent to (B -> A)",B,"Slide 'Types of Graphs' states that in an Undirected Graph: 'Edges are unordered pairs {Vk, Vw}. Direction irrelevant - {A, B} = {B, A}'."
What is a 'Directed Graph (Digraph)' in graph theory?,"A graph where edges are ordered pairs (Vk, Vw), meaning direction matters and edge (A -> B) is not equivalent to (B -> A)","A graph where edges are unordered pairs, making the movement in both directions equal and without constraint",A graph where multiple parallel edges are allowed between the same pair of nodes,A graph where every single node is directly connected to every other node in the network,"A graph where vertices are split into distinct categories, and edges only connect nodes of different categories",A,"Slide 'Types of Graphs' defines Directed Graph (Digraph): 'Edges are ordered pairs (Vk, Vw). Direction matters: (A->B) != (B->A). Each node has in-degree and out-degree.'"
"How is a 'Multigraph' defined, and how does a directed multigraph differ from an undirected multigraph?",A multigraph allows multiple separate graphs to be nested inside individual nodes; it is directed if we can only query the outer graph,"A multigraph allows multiple edges between the same pair of nodes; it is directed if the edges are a multi-set of ordered couples, otherwise it is undirected","A multigraph is a graph with more than 100,000 nodes; it is directed if it is written in C++ and undirected if written in Python",A multigraph is a graph with multiple node types; it is directed if edges only connect nodes of identical types,A multigraph is a graph that possesses both positive and negative edge weights; it is directed if the weights are symmetric,B,"Slide 'Multi-Graph...' explains that a multigraph allows multiple edges to have the same pair of start and end nodes. 'A multigraph is called a directed multigraph if E is a multi-set of ordered couples; otherwise, if E is a multi-set of two-sets, then it is called an undirected multigraph.'"
"In NetworkX, which classes should be used to instantiate a Directed Multigraph and an Undirected Multigraph respectively?",`nx.to_pandas_adjacency(MultiDi)` and `nx.to_pandas_adjacency(Multi)`,`nx.DiGraph()` and `nx.Graph()`,`nx.MultiGraph(directed=True)` and `nx.MultiGraph(directed=False)`,`nx.MultiDirected()` and `nx.MultiUndirected()`,`nx.MultiDiGraph()` and `nx.MultiGraph()`,E,Slide 'Multi-Graph...' lists the code instantiation commands: `directed_multi_graph = nx.MultiDiGraph()` and `undirected_multi_graph = nx.MultiGraph()`.
What is a 'Weighted Graph'?,A graph whose adjacency matrix is normalized to contain values that sum up to 1 across both rows and columns,A graph that contains multiple parallel edges representing scenic versus direct transit routes,A graph that limits the maximum degree of its nodes based on their overall cluster centrality score,A graph representation where high-degree nodes are given higher priority during distributed task scheduling,"A graph that assigns a real-valued weight to each edge (or node), capturing metrics like cost, distance, or connection strength",E,"Slide 'Types of Graphs' defines 'Weighted Graph' as: 'Assigns a real-valued weight w: E->R to each edge (or node). Captures cost, distance, or strength.'"
What characterizes a 'Multipartite Graph' (such as bi- or tri-partite graphs)?,It is a complex network that can only be processed using C++ libraries like SNAP due to its multi-layer structure,Every single vertex in the graph has a direct edge connecting it to every other vertex in the entire network,It contains multiple parallel edges connecting the same pair of nodes with different edge weights,"Its vertices can be partitioned into k sets, and edges are only allowed across different sets (no edges within nodes of the same set)",Its adjacency matrix is guaranteed to be completely symmetric and filled with non-zero real-valued weights,D,"Slide 'Multipartite Graphs...' explains: 'Bi- and tri-partite graphs—and, more generally, kth-partite graphs—are graphs whose vertices can be partitioned in two, three, or more k-th sets of nodes, respectively. Edges are only allowed across different sets and are not allowed within nodes belonging to the same set.'"
"What is an Adjacency Matrix representation of a graph G = (V, E)?",A square matrix of size |E| x |E| representing the Pearson correlation coefficients between edge degrees,"A square matrix M of size |V| x |V| where Mij = 1 if an edge exists from node i to node j, otherwise 0",A rectangular matrix of size |V| x |E| where each cell records the weight of edge j connected to node i,A flat list of tuples recording the source and target node identifiers for every active edge,A pandas DataFrame that maps each continuous node coordinate to a two-dimensional vector space,B,"Slide 'Graphs Representation...' defines the adjacency matrix M of a graph G=(V, E) as a 'Square matrix M (|V|x|V|) where Mij = 1 if edge (i,j) exists, else 0.'"
How do undirected and directed graphs differ in their Adjacency Matrix representations?,"Undirected graph adjacency matrices are rectangular, while directed graph adjacency matrices are square",Undirected graphs cannot be represented as adjacency matrices because they lack edge directionality,"Undirected graph adjacency matrices are always symmetric, while directed graph adjacency matrices are not necessarily symmetric","Undirected graph adjacency matrices contain only weights, while directed graph adjacency matrices contain only 0 and 1 values","Undirected graph adjacency matrices are not symmetric, while directed graph adjacency matrices are always symmetric",C,Slide 'Graphs Representation...' states that for adjacency matrices: 'Undirected: always symmetric' and 'Digraph: not necessarily symmetric'.
Which of the following correctly pairs advanced graph metric categories with their respective definitions?,"Integration (distance metric), Segregation (modularity matrix), Centrality (in-degree ratio), and Resilience (Weisfeiler-Leman test)","Integration (DAG execution plan), Segregation (Catalyst optimizer), Centrality (Spark driver), and Resilience (lineage recovery)","Integration (C++ scaling factor), Segregation (Python memory bounds), Centrality (GNN layers), and Resilience (hyperparameter limits)","Integration (how nodes interconnect), Segregation (quantifies communities), Centrality (importance of individual nodes), and Resilience (adaptability to failures)","Integration (node degree counts), Segregation (node coordinates), Centrality (edge weights), and Resilience (node deletions)",D,"Slide 'Advanced metrics' defines the four categories: 'Integration Metrics: How nodes are interconnected...', 'Segregation Metrics: Quantify presence of groups / communities...', 'Centrality Metrics: Assess Importance of individual nodes...', and 'Resilience Metrics: measure of how much a network can maintain and adapt...'"
"Under integration metrics, what is the 'Diameter' of a network?",The average of all shortest path lengths between all possible pairs of nodes,The total number of edges in the graph (representing graph size),The total number of vertices in the graph (representing graph order),The number of edges in the longest shortest path in the network,The average of the inverse shortest path length for all pairs of nodes,D,Slide 'Integration Metrics' defines 'Diameter' as: 'Number of edges in the longest shortest path in the network.'
"In the study of complex networks, how is the 'Global Efficiency' of a network defined and interpreted?",It is the running speed in seconds of a distributed graph query executed on an Apache Spark cluster,"It is the number of edges in the longest path, measuring the network's overall physical length","It is the average of the inverse shortest path lengths, measuring how efficiently information is exchanged across a network","It is the ratio of local cluster triangles to total edge counts, measuring community isolation","It is the maximum degree of any node divided by the total number of nodes, measuring hub vulnerability",C,Slide 'Integration Metrics' states that: 'nx.global_efficiency(G) is the average of the inverse shortest path length for all pairs of nodes. Such a metric can be seen as a measure of how efficiently information is exchanged across a network.'
What is the mathematical formulation and technical definition of 'Closeness Centrality'?,"It is the normalized number of incident edges on a node, representing how connected a node is","It is the fraction of adjacent neighbors that are connected to each other, calculated as C = 2Ei / [ki(ki - 1)]",It is the fraction of all shortest paths in a network that pass through a specific node of interest,"It is the average distance of a node to all other nodes in the network, calculated as cj = (N - 1) / sum(lij)",It is the Pearson correlation coefficient of degrees at both ends of each edge,D,Slide 'Centrality Metrics' defines Closeness Centrality: 'How close a node is to all others. cj = (N-1) / sum(lij)' and Slide 'Centrality Metrics' notes: 'The closeness centrality metric attempts to quantify how close a node is... refers to the average distance of a node i to all other nodes in the network.'
What does 'Betweenness Centrality' evaluate in a network?,The physical geographic proximity of a node to the cluster's coordinate center in Euclidean space,The ratio of dense intra-community edges to sparse inter-community edges inside a module,The fraction of triangles formed by a node's immediate neighbors in the ego graph,The total number of incoming and outgoing directed edges connected directly to a specific target node,"How much a node acts as a bridge by lying on many shortest paths between other nodes, helping to keep the network connected",E,Slide 'Centrality Metrics' defines Betweenness Centrality: 'Acts as a bridge... nodes on many shortest paths.' Slide 'Centrality Metrics' elaborates: 'evaluates how much a node acts as a bridge... strategically connected... if it helps to keep the whole network connected.'
"In the Italian cities network example from Lecture 12, why does Rome show the highest closeness and betweenness centrality?","Because it acts as a crucial bridge connecting the two visible clusters, keeping the whole network connected","Because it has a clustering coefficient of 1.0, forming a perfect triangle with Paris and Milan","Because it is an isolated node with a degree of 1, making it highly disassortative",Because it has the highest number of incident edges (highest degree centrality) in the network,Because it is represented as a directed multigraph with multiple highways connecting it to Rome,A,Slide 'Centrality Metrics' explains: 'Rome has the highest closeness centrality since it is the closest to any other node. It also shows the highest betweenness centrality because of its crucial role in connecting the two visible clusters and keeping the whole network connected.'
"Under segregation metrics, what is the 'Clustering Coefficient' of a node?","The fraction of triangles around a node, equivalent to the fraction of a node's neighbors that are neighbors of each other",The number of times a node lies on the shortest path between any other two nodes in the network,The average distance from a node to all other nodes in the network calculated via shortest paths,The Pearson correlation coefficient measuring degree-to-degree connections of incident edges,The ratio of a node's degree to the total number of nodes in its designated community set,A,Slide 'Segregation Metrics' states: 'The clustering coefficient is a measure of how closely nodes are grouped together. It is defined as the fraction of triangles (complete subgraph of three nodes and three edges) around a node and is equivalent to the fraction of the node's neighbors that are neighbors of each other.'
What is 'Modularity' under network segregation metrics?,"A metric that quantifies division into communities, where high modularity indicates dense intra-community connections and sparse inter-community connections",An optimization layer inside Spark SQL that consolidates redundant transformations into stages,A metric that evaluates how many of a node's neighbors are also neighbors of each other,The average of all shortest path lengths between all possible pairs of nodes inside a network,A representation learning method that maps discrete graphs to continuous two-dimensional vector spaces,A,Slide 'Segregation Metrics' notes: 'Modularity: Quantifies division into communities. HIGH modularity = dense intra-community edges + sparse inter-community edges. Modularity was designed to quantify the division of a network into aggregated sets of highly interconnected nodes...'
"What is the 'Assortativity Coefficient' under resilience metrics, and what do positive versus negative values indicate?","The ratio of in-degree to out-degree; positive means an active hub, while negative means a structural bottleneck","The average path length of the network; positive means high integration, while negative means poor efficiency",The number of edge-cut operations needed to divide a graph into two disjoint subgraphs of equal size,"The fraction of triangles around a node; positive means highly clustered, while negative means completely disconnected","The Pearson correlation of degrees at both ends of each edge; positive means similar-degree nodes connect (resilient), while negative means different-degree nodes connect (vulnerable)",E,Slide 'Resiliency Metrics' and Slide 'Resiliency Metrics' explain: 'Assortativity coefficient is used to quantify the tendency of nodes being connected to similar nodes... Pearson correlation of degrees at both ends of each edge. Positive (+1): similar-degree nodes connect -> resilient. Negative (-1): different-degree nodes connect -> vulnerable to hub attacks.'
"According to the resilience metrics discussed in Lecture 12, what are the typical assortativity patterns observed in social networks versus tech networks (such as the World Wide Web)?","Social networks are mostly disassortative (negative), while tech networks are mostly assortative (positive)",Social networks and tech networks are both disassortative because hubs always connect with other hubs,"Social networks are disassortative with an assortativity of +1.0, while tech networks are assortative with an assortativity of -1.0","Social networks are mostly assortative (positive), while tech networks are mostly disassortative (negative)",Social networks and tech networks are both highly assortative due to the presence of central influencers,D,Slide 'Resiliency Metrics' notes: 'Social networks: mostly assortative' and 'Tech networks (WWW): mostly disassortative' and 'Influencers: disassortative (follow != followed by)'.
"In NetworkX, what function is used to calculate the assortativity coefficient of a graph G based on node degrees?",`G.get_degree_pearson_correlation()`,`nx.degree_assortativity_pearson(G)`,`nx.degree_pearson_correlation_coefficient(G)`,`nx.assortativity_coefficient(G)`,`nx.calculate_resilience_assortativity(G)`,C,Slide 'Resiliency Metrics' and Slide 'Resiliency Metrics' show the NetworkX command: `nx.degree_pearson_correlation_coefficient(G)`.
"In graph machine learning, what is 'Representation Learning (Network Embedding)'?",A feature engineering technique that converts multi-variable continuous fields into hot-encoded binary vectors,An orchestration standard for translating declarative SQL operations into physical Spark executor tasks,The automatic scaling of virtual container infrastructures on orchestrators like Kubernetes,The process of serializing raw Python classes into JVM bytecode to enable distributed query execution,Learning a mapping f: G -> R^n that transforms a discrete graph into a continuous n-dimensional vector space while preserving structural properties,E,"Slide 'Graph Embeddings...' defines 'Representation Learning (Network Embedding)' as: 'Learn a mapping f: G -> R^n that transforms a discrete graph into an n-dimensional vector space, preserving local and global structural properties.'"
What is the key difference between 'Transductive' and 'Inductive' graph embedding models?,"Transductive models only map whole graphs, whereas Inductive models map individual nodes and edges","Transductive models preserve Euclidean properties, whereas Inductive models operate exclusively on disassortative networks","Transductive models run on the Spark driver, whereas Inductive models run on distributed Spark executors","Transductive models can only embed training data and require re-training for new nodes, whereas Inductive models generalize to unseen nodes/graphs at inference time","Transductive models are written in pure Python, whereas Inductive models require optimized C++ engines like SNAP",D,The comparison on Slide 'Graph Embeddings...' states: 'Transductive: Can only embed training data (re-train for new nodes)' and 'Inductive: Generalizes to unseen nodes/graphs at inference time'.
